id_video_anonimizado,text,final_misoginia,final_toxicidade,texto_analise,score_perspective_max,latencia_api,detalhe_toxicity,detalhe_severe,detalhe_identity,detalhe_insult,tipo_origem,unified_label,original_label_column
video_10060,Mais um personal pegando mulher casada 📕 - AntiOtário 🔱 - Código Masculino🚩 - Red Flags🔞 - Antiporn*🧘 - Lições Perpétuas🔐 - Entrada no Grupo PrivadoEsse é apenas o começo! 📚🗿👇🔗 | https://hotm.art/ComboManual,0,0,Mais um personal pegando mulher casada 📕 - AntiOtário 🔱 - Código Masculino🚩 - Red Flags🔞 - Antiporn*🧘 - Lições Perpétuas🔐 - Entrada no Grupo PrivadoEsse é apenas o começo! 📚🗿👇🔗 | https://hotm.art/ComboManual,0.2648175,0.041385650634765625,0.2648175,0.023076924,0.050443888,0.06250052,videos_toxicidade,0,final_toxicidade
video_10235,"O não vc já tem... #hackeandoamatrix #hackeandoamatrix #morenotatuado #homemdealtovalor        ⭐Seja membro para ter acesso a vídeos exclusívos por apenas $2,99 🤏     https://www.youtube.com/channel/UCDrGZXd8k06ifz0-gccIn0w/join-----------------------------------------------------------------------------------------------------------Esse é um canal de opinião, onde analiso dinâmicas sociais entre homens e mulheres do ponto de vista de um homem.Meu compromisso é dar minha contribuição sincera e respeitosa sobre assuntos da atualidade que interessam ao homem de alto valor.Quando o homem começa a seguir o próprio caminho aprende que precisa se manter bem informado.💊DEIXE O LIKE!                       💊SE INSCREVA!             👉Compartilhe esse vídeo com alguém que vc gosta:",0,0,"O não vc já tem... #hackeandoamatrix #hackeandoamatrix #morenotatuado #homemdealtovalor        ⭐Seja membro para ter acesso a vídeos exclusívos por apenas $2,99 🤏     https://www.youtube.com/channel/UCDrGZXd8k06ifz0-gccIn0w/join-----------------------------------------------------------------------------------------------------------Esse é um canal de opinião, onde analiso dinâmicas sociais entre homens e mulheres do ponto de vista de um homem.Meu compromisso é dar minha contribuição sincera e respeitosa sobre assuntos da atualidade que interessam ao homem de alto valor.Quando o homem começa a seguir o próprio caminho aprende que precisa se manter bem informado.💊DEIXE O LIKE!                       💊SE INSCREVA!             👉Compartilhe esse vídeo com alguém que vc gosta:",0.05230548,0.08658552169799805,0.05230548,0.0062179565,0.010803374,0.02122384,videos_toxicidade,0,final_toxicidade
video_10267,"Quem Se Importa mais com a Aparência? Homens ou Mulheres ? ... Clube De Membos Conteúdo Sem Censura Multiplataforma - https://abre.ai/maOVSua Atratividade Facial De 1-10? Obtenha Sua Analise 🔍😊👤💡📏https://abre.ai/iX8DAdiquira o Ebook ""Guia De Looksmaxxing De 10 Etapas""  👔✨📚📝👩‍🎨👨‍🎨📖https://abre.ai/iX8EAdiquira o Ebook "" Looksmaxxing De Maneira Errada"" GRATIS""   👔✨📚📝👩‍🎨https://abre.ai/iX8HMe Siga No Instagram  👣👉📸😊https://urlgeni.us/instagram/N0KqWMe Siga No TikTok  👣👉🎵😊https://urlgeni.us/tiktok/xcIwWMe Siga No Face 👣👉📘😊https://urlgeni.us/facebook/HEnL",0,0,"Quem Se Importa mais com a Aparência? Homens ou Mulheres ? ... Clube De Membos Conteúdo Sem Censura Multiplataforma - https://abre.ai/maOVSua Atratividade Facial De 1-10? Obtenha Sua Analise 🔍😊👤💡📏https://abre.ai/iX8DAdiquira o Ebook ""Guia De Looksmaxxing De 10 Etapas""  👔✨📚📝👩‍🎨👨‍🎨📖https://abre.ai/iX8EAdiquira o Ebook "" Looksmaxxing De Maneira Errada"" GRATIS""   👔✨📚📝👩‍🎨https://abre.ai/iX8HMe Siga No Instagram  👣👉📸😊https://urlgeni.us/instagram/N0KqWMe Siga No TikTok  👣👉🎵😊https://urlgeni.us/tiktok/xcIwWMe Siga No Face 👣👉📘😊https://urlgeni.us/facebook/HEnL",0.037577134,0.09280562400817871,0.037577134,0.004863739,0.0051427023,0.013782915,videos_toxicidade,0,final_toxicidade
video_10275,Nesse exato momento minha namorada está querendo desistir de um dos maiores sonhos da vida dela 📕 - AntiOtário 🔱 - Código Masculino🚩 - Red Flags🔞 - Antiporn*🧘 - Lições Perpétuas🔐 - Entrada no Grupo PrivadoEsse é apenas o começo! 📚🗿👇🔗 | https://hotm.art/ComboManual,0,0,Nesse exato momento minha namorada está querendo desistir de um dos maiores sonhos da vida dela 📕 - AntiOtário 🔱 - Código Masculino🚩 - Red Flags🔞 - Antiporn*🧘 - Lições Perpétuas🔐 - Entrada no Grupo PrivadoEsse é apenas o começo! 📚🗿👇🔗 | https://hotm.art/ComboManual,0.11192002,0.10207629203796387,0.11192002,0.009231567,0.0103594,0.017872108,videos_toxicidade,0,final_toxicidade
video_10335,"Raiam Santos Levou Fora De Uma TATUADA #hackeandoamatrix Hoje no moreno tatuado tem Raiam Santos tendo exposto por Xheli G, ela vazou prints de Raiam Santos xavecando ela, mas o curioso é que Xheli G tem muitas tatuagens, e Raiam Santos sempre declarou que não apreceia pessoas que usam tatuagens.         #hackeandoamatrix  #hackeandoamatrix #morenotatuado #homemdealtovalor⭐Seja membro para ter acesso a vídeos exclusívos por apenas $2,99 🤏     https://www.youtube.com/channel/UCDrGZXd8k06ifz0-gccIn0w/join-----------------------------------------------------------------------------------------------------------Esse é um canal de opinião, onde analiso dinâmicas sociais entre homens e mulheres do ponto de vista de um homem.Meu compromisso é dar minha contribuição sincera e respeitosa sobre assuntos da atualidade que interessam ao homem de alto valor.Quando o homem começa a seguir o próprio caminho aprende que precisa se manter bem informado.💊DEIXE O LIKE!                       💊SE INSCREVA!             👉Compartilhe esse vídeo com alguém que vc gosta:Se Isso For Verdade Raiam Santos é o MAIOR GADO de Todos os Temposhttps://youtu.be/f47FcnC0cqM",1,1,"Raiam Santos Levou Fora De Uma TATUADA #hackeandoamatrix Hoje no moreno tatuado tem Raiam Santos tendo exposto por Xheli G, ela vazou prints de Raiam Santos xavecando ela, mas o curioso é que Xheli G tem muitas tatuagens, e Raiam Santos sempre declarou que não apreceia pessoas que usam tatuagens.         #hackeandoamatrix  #hackeandoamatrix #morenotatuado #homemdealtovalor⭐Seja membro para ter acesso a vídeos exclusívos por apenas $2,99 🤏     https://www.youtube.com/channel/UCDrGZXd8k06ifz0-gccIn0w/join-----------------------------------------------------------------------------------------------------------Esse é um canal de opinião, onde analiso dinâmicas sociais entre homens e mulheres do ponto de vista de um homem.Meu compromisso é dar minha contribuição sincera e respeitosa sobre assuntos da atualidade que interessam ao homem de alto valor.Quando o homem começa a seguir o próprio caminho aprende que precisa se manter bem informado.💊DEIXE O LIKE!                       💊SE INSCREVA!             👉Compartilhe esse vídeo com alguém que vc gosta:Se Isso For Verdade Raiam Santos é o MAIOR GADO de Todos os Temposhttps://youtu.be/f47FcnC0cqM",0.11088664,0.08835697174072266,0.11088664,0.013607788,0.014249804,0.03257891,videos_toxicidade,1,final_toxicidade
video_10386,AS MULHERES PROCURAM ISSO NOS HOMENS #relacionamento #sedução #namoro #conquistarmulheres #homem,0,0,AS MULHERES PROCURAM ISSO NOS HOMENS #relacionamento #sedução #namoro #conquistarmulheres #homem,0.13561769,0.08791446685791016,0.13561769,0.0127685545,0.07094744,0.028612386,videos_toxicidade,0,final_toxicidade
video_10410,BRIGADEIRO E O DIA QUE QUASE PEGOU UMA TRANS,1,0,BRIGADEIRO E O DIA QUE QUASE PEGOU UMA TRANS,0.4054415,0.2035691738128662,0.39441586,0.024772761,0.4054415,0.25998658,videos_toxicidade,0,final_toxicidade
video_10425,Eu prefiro estar solteiro do que estar num relacionamento ruim 📕 - AntiOtário 🔱 - Código Masculino🚩 - Red Flags🔞 - Antiporn*🧘 - Lições Perpétuas🔐 - Entrada no Grupo PrivadoEsse é apenas o começo! 📚🗿👇🔗 | https://hotm.art/ComboManual,0,0,Eu prefiro estar solteiro do que estar num relacionamento ruim 📕 - AntiOtário 🔱 - Código Masculino🚩 - Red Flags🔞 - Antiporn*🧘 - Lições Perpétuas🔐 - Entrada no Grupo PrivadoEsse é apenas o começo! 📚🗿👇🔗 | https://hotm.art/ComboManual,0.15158679,0.0555570125579834,0.15158679,0.01121521,0.013445892,0.02173949,videos_toxicidade,0,final_toxicidade
video_10449,Olhe para os seus irmãos com amor 🗿 - Antiotario🔱 - Masculino🚩 - Red Flags🔞 - Antiporn*🧘 - Lições Perpétuas🔐 - Entrada no Grupo PrivadoEsse é apenas o começo! 📚🗿👇🔗 | https://hotm.art/ImperioCombo,0,0,Olhe para os seus irmãos com amor 🗿 - Antiotario🔱 - Masculino🚩 - Red Flags🔞 - Antiporn*🧘 - Lições Perpétuas🔐 - Entrada no Grupo PrivadoEsse é apenas o começo! 📚🗿👇🔗 | https://hotm.art/ImperioCombo,0.20195828,0.11399245262145996,0.20195828,0.019095084,0.023997234,0.032689095,videos_toxicidade,0,final_toxicidade
video_10507,Homem de valor não está na balada #sedução #paquera #conquista #conquistar #homemdevalor #mulher,0,0,Homem de valor não está na balada #sedução #paquera #conquista #conquistar #homemdevalor #mulher,0.007151874,0.1021878719329834,0.005026425,0.00030994415,0.00085557543,0.007151874,videos_toxicidade,0,final_toxicidade
