id_comentario_anonimizado,comentario,final_misoginia,final_toxicidade,toxicity,severe_toxicity,obscene,identity_attack,insult,threat,sexual_explicit,pred_label,threshold_aplicado
comentario_306692,É pior que a maioria delas se orgulham do passado delas. Ainda bem que o cara descobriu se não estaria condenado a viver em um inferno pelo resto da vida.Esse rapaz teve foi um livramento dos grandes e com certeza deve ter dado testemunho a outros. O futuro de uma pessoa ser bem sucedida na vida é ter um bom currículo e bom histórico  no passado para que o  futuro será excelente e próspero na vida.,1,1,0.023041503503918648,5.3249830671120435e-05,0.0009708590805530548,0.00013811112148687243,0.007078804075717926,0.0002598529972601682,0.00013132349704392254,0,0.2
comentario_68694,A história da chave e do cadeado,0,0,0.0038506179116666317,0.00018794447532854974,0.004287302028387785,0.00024914296227507293,0.0028109122067689896,0.00027988257352262735,0.000382046535378322,0,0.2
comentario_2024273,"Não precisa ser raparigueiro para cair nesse golpe, basta ter o azar de dar carona para uma vagabunda destas daí, aqui em Brasília muitos coroas caíram nesse golpe de dar carona para certas minas bonitas!",1,1,0.027521425858139992,0.0001932047016452998,0.010065815411508083,0.00019618900842033327,0.01399295125156641,0.0006849401979707181,0.001985908718779683,0,0.2
comentario_1848912,"  está sentindo o que a maioria delas cobram de seus parceiros, trabalhar fora, ajudar nos trabalhos de casa e  ser amoroso...🤷🏽‍♀️",0,0,0.005764828063547611,4.584978523780592e-05,0.001123396446928382,0.0002832663885783404,0.0019738408736884594,7.39810784580186e-05,0.000509337114635855,0,0.2
comentario_1995049,O egoísmo é foda... Às vezes pensar somente em si faz o outro sofrer. E quem não tiver empatia para se colocar no lugar do outro não vai conseguir enxergar os problemas. Quando resolver abrir os olhos será tarde demais.Mas é isso. As pessoas não valorizam as boas coisas que possuem. Costumam valorizar só depois que perdem ou quando fazem as escolhas erradas.É como esse marido imbecil.,0,1,0.9895644187927246,0.0037697949446737766,0.6349889636039734,0.0018026618054136634,0.9636526703834534,0.0010388102382421494,0.009988958947360516,1,0.2
comentario_2625054,E ajudar o ajudante a ser pedreiro… casei com um ajudante e de tanto falar na cabeça dele hoje ele é pedreiro e eletricista.,0,0,0.020468534901738167,0.0001565630518598482,0.0045318445190787315,0.00027226415113545954,0.01434501726180315,0.0003043073520530015,0.0011383171658962965,0,0.2
comentario_1008453,"Estão solteiros porque não querem ter responsabilidades ,nem querem ficar preso em uma só mulher, safadeza está no DNA deles .",0,1,0.054477572441101074,0.00013445834338199347,0.0015118798473849893,0.003803449682891369,0.02022399939596653,0.000289313931716606,0.001055046683177352,0,0.2
comentario_1495713,Ele tava possuído pelo 9 CASCOS do PT,0,1,0.013426207937300205,0.00010422465857118368,0.004158531781286001,0.0003339317045174539,0.005588422529399395,0.0003550626861397177,0.0006358008249662817,0,0.2
comentario_1624418,"@ -iz6cnSe não vai pagar não vai comer , é namoro mas vai querer sexo né ? Então não paga não come 😂",0,1,0.7108154892921448,0.0018557292642071843,0.012943889945745468,0.0033424876164644957,0.008469815365970135,0.0033297212794423103,0.7369933724403381,1,0.2
comentario_1583300,"VERDADE CRIA JUIZO PAIZÃO,  METE MARCHA",0,0,0.39759913086891174,0.004109303001314402,0.05419601872563362,0.005361882038414478,0.03901214897632599,0.008945096284151077,0.004221972078084946,1,0.2
