id_comentario_anonimizado,comentario,final_misoginia,final_toxicidade,toxicity,severe_toxicity,obscene,identity_attack,insult,threat,sexual_explicit,pred_label,threshold_aplicado
comentario_655774,Venha logo asteroide e acaba com essa humanidade doentia e nojenta. Tudo por grana e fama!,0,1,0.9556983709335327,0.0007990279700607061,0.005928725004196167,0.022172104567289352,0.8178995847702026,0.10548378527164459,0.0014566781464964151,1,0.1
comentario_2750089,"UM mentiroso isso sim porque o ferimento no braço da Ana, todo mundo que assistiu o Programa apresentado pela Ana na Record viu muito bem o braço dela FERIDOA",0,1,0.8591625690460205,0.001440962078049779,0.06745705008506775,0.0005122508155182004,0.6230615377426147,0.006132942624390125,0.04064895212650299,1,0.1
comentario_51055,"Muita falta, jamais viveria sem meu pai, meu marido e meu filho. Os homens da minha vida são tudo para mim, juntamente com a minha mamãe.",0,0,0.009341428056359291,8.262194023700431e-05,0.000562224187888205,0.0009086481295526028,0.00525694340467453,0.00022065620578359812,0.0003773263015318662,0,0.1
comentario_1882146,Olha se envolver com uma msol talvez já deu certo no passado mais agora com essa intoxicação feminista elas são as piores pq tem os filhos que podem ser usados na socioafetiva pra prejudicar os caras eu vi uma matéria que no Brasil o reconhecimento da paternidade socioafetiva cresceu 22% cuidado senhores,1,1,0.08430639654397964,0.00014695989375468343,0.0018577838782221079,0.008371558040380478,0.03917953372001648,0.00044460425851866603,0.002022842410951853,0,0.1
comentario_1624418,"@ -iz6cnSe não vai pagar não vai comer , é namoro mas vai querer sexo né ? Então não paga não come 😂",0,1,0.7108153700828552,0.001855730079114437,0.012943894602358341,0.003342484124004841,0.008469811640679836,0.003329718252643943,0.7369933724403381,1,0.1
comentario_2389020,"Também não precisa acabar com a raça de vocês,por causa de algumas  loucas",1,1,0.8631871342658997,0.00017910683527588844,0.003372362582013011,0.00326610472984612,0.7813647985458374,0.0027313304599374533,0.0008827236015349627,1,0.1
comentario_1612217,O que tenho a dizer é: 😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅,0,0,0.000479204289149493,6.165800732560456e-05,0.0003372584469616413,0.00011233646364416927,0.00019939309277106076,7.717892003711313e-05,8.78908540471457e-05,0,0.1
comentario_664708,tapa na cara aqui no Brasil só se auferido por uma mulher 😅,0,0,0.21209630370140076,0.0014304079813882709,0.016420535743236542,0.011258029378950596,0.013463018462061882,0.044385701417922974,0.027030274271965027,1,0.1
comentario_977852,"Vce tem uma certa razão,mas o ppr que disso? Homem ganha melhor que a mulher,e  as outras solteiras dão em cima mesmo...",1,1,0.011314356699585915,0.00015287617861758918,0.0009329843451268971,0.0019012821139767766,0.003604690544307232,0.0003011180378962308,0.0008582064183428884,0,0.1
comentario_231247,"Tinha que ter feito o serviço completo e terminado tudo ali. Ao ficar, você deu tempo para ela se vingar de você depois causando mais danos ainda.",1,1,0.06254812330007553,0.00036597653524950147,0.00437808595597744,0.0005008695879951119,0.0036977108102291822,0.03556158393621445,0.0012332504848018289,0,0.1
