comentario,final_toxicidade
Ele é Jôvem e no momento  certo  vai encontrar  alguém,0
Esse cara tá pedindo pra a mulher trocar ele por outro,1
"Estão começando a se tornar camaleoas , tudo que foi previsto pelo Don Sandro e Raccon está ocorrendo de forma acelerada , deixamos que elas se responsabilize pelas escolhas delas.",1
"o descaramento é tão grande, que nem disfarça o golpe. A melhor red, sempre vem delas mesmas.",1
"E vai aconselhar! Perde a amizade, vai achar que você quer furar o olho",0
Toma aí seu dia de princeso otario kkkkkkk...,1
"Jamais aceitaria um homem com filho, então eu nem mesmo daria a chance para um; pq essa criatura namorou, noivou com uma mulher que tem 7 filhos se isso era um problema? Gastar dinheiro para fazer um casamento, perder seu tempo (e tempo dela tambem). Procure uma mulher sem filhos e deixe pais solteiros para namorar e casar com mães solteiras.",1
Único lugar que eu vi a mulher perder foi onde eu trabalhava que os caras pegavam as mulheres e a patroa mandava as mulheres embora 😂 por que ela tinha sido traída umas 200x pelo marido aí ela pegou ranço de mulher infiel .... ela é uma mulher Maravilhosa de respeito a patroa de bom coração ❤ não estou pagando pau pra mulheres mais ela ajudou muita gente e não defendia mulheres na empresa ela mandava embora 😂 !,0
Até que enfim uma mulher falando verdade,1
Parece que alguém surtou a carteira de outrem,0
"Por causa de gente como o Felipe Monteiro , relativizando o absurdo, é que o país está como está.Na cabeça do animal vc pode glamourizar a vida do crime, mas não pode ser moralista. Pra ele ser moralista é mais criminoso que matar pessoas, roubar e vender drogas",1
"Antigamente quando os caras namoravam a mulher mesmo já contava quantos ela foi pra cama e o nome, sem você perguntar. Elas colocavam isso como uma qualidade.",1
Ninguém fará você ter sucesso se você mesmo não ir atrás e conquistar os teus sonhos e realizações.,0
.-dk9xq kkk veio com os 2 pés nas porta de cara kkk vai assustar os bluepill,0
"Por favor, os homens não podem se preservarem um pouco não?, vão pra cama  assim ? Se cuidar um pouco faz bem.sabiam?",1
"A 4 anos atrás tava geral comprando carro a preço de banana pelo visto kkkkk. Gado é sempre gado, não importa se é destro ou canhoto 😂😂",1
"Femina consegue o que deseja e mantém o relacionamento.Feminista: consegue o ""empoderamento""  na dogpill quando ficar velha  e metralhada.",1
SINTO PELA FAMILIA QUE DEUS CONFOETE MAIS ELE PROCUROU,0
"Em que planeta ela vive que não sabe da lei ""Não é Não"" e que isso da até cadeia, nem bom dia dou mais para as digníssimas kkkkkkkk",1
Verdade passei por isso 😢É terrível infelizmente.,0
"Que pergunta besta é essa? Óbvio que sem filhos. E linda, gostosa, bom carater, fiél e virgem! Filho tem que ser meu quando fizer nela quando já tiver bons recursos e se merecer ainda!",1
"Nem sabia que existia orgulho alheio, mas aparentemente é o que estou sentindo.",0
😂😂 Puuuutz !! Minha cidade 😅 - Aqui é um paraíso no litoral de PE!! Mas tem uns paradas dessas mesmo kkkkkk Cuida !! Tow fora,0
Imagina voce entra em um relacionamento  e digníssima larga essa pedrada eu terminaria na hora,0
"Sempre sobra pra alguém, família, ou o Estado que é pago com nossos impostos, ou algum outro homem. Mulher nunca assume filho sozinha. Eu como irmão mais velho e minha mãe separada, sobrou pra mim o encargo de pai e dos irmãos sobre minhas costas.",1
"Oxi oxi oxi, vou nem zoar, vai que é doença!",0
É pior que a maioria delas se orgulham do passado delas. Ainda bem que o cara descobriu se não estaria condenado a viver em um inferno pelo resto da vida.Esse rapaz teve foi um livramento dos grandes e com certeza deve ter dado testemunho a outros. O futuro de uma pessoa ser bem sucedida na vida é ter um bom currículo e bom histórico  no passado para que o  futuro será excelente e próspero na vida.,1
Imagina a história do Chad do empadão,0
"@  Pior é que na maioria dos casos, quem escolhe a mulher ruím são eles mesmos. Igual a mulher que quebra a cara com homem, sendo que foi ela quem escolheu o homem ao qual hoje ela mesma reclama.",1
