comentario,final_toxicidade
"Maaaaaano. ""Deu sorte"" Numa dessas, ""a mulher"" se joga no chão, se bate, se joga na porta E VAI DIZER Q FOI AGREDIDA. E um juíz ainda prende, acaba com a vida do traído, SO PELA PALAVRA DO LIXO",1
"Que legal!!!Tenho um amigo, as vezes frequenta barzinho, ele confirmou tudo isso kkkMulheres em grupo, frise-se sozinhas, ninguém chega kkkkHomens estão despertos kkkk",0
Então você não saiu com a mulher você saiu com uma boneca Porque se ela teve que botar cílio botar cabelo botar peito botar a bunda botar tudo então não era uma pessoa era uma coisa falsa e dizer que é borrifada do perfume saiu mais caro que o jantar essas piriguete não conhece perfume bom armas conhece o Jequiti Hinode essas porcaria que tá aí na praça geralmente esse tipo de perfume não sai muito caro É quase de graça pensa uma coisinha nojenta Avon Hinode que deve ser esse tipo de coisa que você tá se referindo não é,1
Tudo bem né? pedaço de carne em estado de putrefação! Que rico irá querer carne estragada 😅😅,0
"Mais uma relíquia que vou baixar, pra ficar pra sempre esses ensinamentos desse cidadão, assisti hoje, porque ontem eu tava muito cansado",0
"Olha sinceramente sei nem o que dizer, lamentável, e um cara desse ainda pode ser preso por não pagar a pensão , sei que muitas vezes nem dá pra comprar nada , mas só a preocupação dele levar compras já prova que já deve ter sido até preso por atraso, filho é dos dois mas eu nunca pedi pensão do meu filho, deveria mas o desgaste não valia a pena, mas respeito é bom!",0
"Queria o marido não, a grana😂😂😂😂!Agora, ""imangina"" que os seres de luz traem a si mesmo, coitado dos emocionados (vão dizer que estou errado pq ele também traiu, porém, ele não era sobrinho dele que tinha recebido tudo do melhor)",1
E qual homem rico iria querer andar de mãos dadas com um tracajá bandeira desse aí?,1
E  na  hora  o  amante  e o  bom  mas  depois  se  lasca  se  vira  vai  trabalhar   quero  ver  o  fim  disso,0
"Deolaine, quem é essa mulher? Ah, uma youtuber rsrs.",0
A mão esquerda do cara....ainda desperta suspeita...,0
"Eu livrei um grande amigo de fazer uma merda dessas,ainda bem que ele me ouviu e me agradece até hoje ,eu orientei ele a pegar uma doação vida sogra registrada no cartório com advogado e tudo ela se esquivou e se aborreceu ,a filha que era a noiva do meu amigo era rodada e mãe solteira eu avisei a ele construa no seu terreno e antes de casar e case com separação vital de bens e tenha cuidado com a prole dela pois vc pode virar tico tico e criar filho dos outros .ele até hoje me agradece pois o casamento não durou 2 anos",1
"Meus bisavôs, avôs, pai, tios, nâo tinham carro, nem moto, nem 💵,  nâo faziam academia, nâo usavam perfumes, cortavam cabelo a cada  4 meses, tomavam banho apenas no sábado, trabalhavam na roça, fediam suor etc...E todos, ou quase todos casaram com uma mulher virgem, e sem filhos !!!! Aí chega na minha vez tenho que fazer milagres para tentar agradar uma muiéé rodada, cheia de filhos..Abandonar o jogo é a melhor opção..",1
Aceito até um real pra n topa com vc😅😅😅😅😅,0
Esse Mangina é aquele cara que falou em um podcast esses dias que não ver problema nenhum a mulher  casada em ir em uma casa de swing que marido que  vê problema nisso é inseguro?😂😂😂,1
"Logo se vê que o Daniel nada mais é do que um entusiasta, que quando está na frente de quem entende do que fala… ele fica constrangido…Como meu avô dizia: todo dia acorda um trouxa e um esperto…Aliás quem é, e o que faz esse Daniel? Teórico conspiracionista?",1
TRAUMATIZADA FAZ TEMPO NADA TIRA O ODIO DE NAO TER A VIDA FÁCIL Q QUERIA,1
Se preparem para financiar mais uma família desestruturada.,0
"Abaixa o shortinho dele, pega uma cinta e desce-lhe uma cintada... Sem ódio no coração, mas com a certeza de estar educando, ainda em tempo, porque essa reação é de quem não foi educado no tempo correto. Em hipótese alguma poderá prevalecer a raiva, mas sim o amor e a certeza de estar fazendo o melhor para que este não sofra com a correção tardia que talvez já não será mais possível e trará sofrimento para muitos.",1
bom dia Don...nossa espécie irá sumir!!!!!lamentavelmente,0
"@ -rj-brasil1411 Outro fato que acho desnecessário, são aquelas unhas de gel extravagantes. Uma bela mulher não precisa portar nos dedos 5 cm de unha em gel.",1
"Que dó dela, nunca trabalhou na vida 😂😂😂😂😂",0
"Como homem não aceito qualquer idiota também, busco alguém realmente inteligente e de valor",1
"Essa aí sabe falar o que os homens amam escutar kkk muito esperta, parabéns kk",0
Esses homens não te chamam atenção,0
"Pelo sotaque dele eu não duvido muito que essa estória seja verdadeira, alguém sabe de qual estado ele deve ser.? Já sei que não é carioca.!",0
"Um homem com medo é como um poço sem fundo de amargura. Engraçado que esta geração de Pills não percebe nem quando homem é elogiado e apoiado. Tudo é manipulação para eles. Homem só pensa em custo - benefício sim. Ele também é interesseiro. E não tem só a ver com a parte financeira. É como ele funciona. Esse canal aqui é a prova disso: um punhado de homem desecantado que não tem onde investir o seu tempo a baixo custo e que acha que mulher deve servir e não exigir, ou seja, homem não quer risco de perder, só tirar vantagem. Eu pergunto, quanta mulher de ""carroucel"" teriam pegado se tivesse oportunidade? Suponho que todas. Aí tiravam vantagem, seriam piranhas mas davam benefícios. Mas como as piranhas estão exigindo algo em troca, aí já é diferente. Elas não merecem porque são piranhas. Não é uma questão de não querer piranha porque ela é imoral, é porque ela não quer ficar na desvantagem que dá jeito ao homem e representa ameaça para bolsa e reputação,  ou seja, dar pouco e receber muito, é a combinação perfeita para eles. Esta é a verdade. Agora, mulher séria também não quer ""chave"" gasta, oportunista, e cheia de vicios e traumas. Nem pensem que com essa atitude atraem alguém decente. Os homens devem preocupar-se em crescer não só a nivel financeiro, devem trabalhar o cérebro, a autoestima e a autonomia também. Deixem de ser emocionados de raiva reprimida e lutem por vocês.",1
