comentario,final_toxicidade
Se fosse o contrário o cara seria preso por a$$edio e responderia um processos nas costas e teria o nome manchado,0
Este procedimento não chega a custar nem Rs500 em qq estado do Brasil! Pq ele menciona Rs2.500?,0
"O problema não é ter rede social, é respeitar a pessoa que está com vc, mulher curtir fotos de homens ou homens curtir fotos de mulheres, ou pior seguir ex e ainda curtir fotos",0
Aberta a temporada de caça aos destacados!,0
"Vai ficar velha e criando gato filhona, homem que se preze nao assume mulher rodada e nem msol",1
"O ambiente propicia pq a maioria das pessoas só não traem por falta de oportunidade com alguém ""interessante""!",0
O #Patriarcado é opressão e a servidão dos homens coagidos e intimados a dar #proteção e #provisão para mulheres.,1
"Essa é mãe com palavra...consequências de um "" tolo "" que achou que era o "" pá ""... .vacilão otário, Tirou quem o amou, amamentou, antes dos ""amiguinhos ""...Vai drão,jão...VACILÃO!!!!",1
"ELA DIZ: os que tem objetivos!, tem qualidades e são UM SHOW ao tratarem essas LINDEZAS ❤🇧🇷",0
@  eu moro no sul do país e veijo isso acontecer direto,0
Casamento nunca mais Saio e volto a hora que quero sem dar satisfação a ninguém.,0
É muita Maluquice! Meteoro onde você está meu filho ?,0
"A minha ex nunca foi de mostrar o corpo. "" Até pra mim ela ficava com vergonha"".... principalmente em rede sociais...ela raramente postava FT e até mesmo hj ela não posta ND e tals😕 sla a família dela ainda gosta de mim mas não fui eu quem errei e sim ela 😕eu fui fiel nesses quatro anos mas ela quis jogar nossos quatro anos no lixo 😕 eu tinha aceso as redes sociais dela e ela as minhas 😕😕mas no final até a família dela ficou com raiva dela inclusive o pai 😕😕😕 ou seja ela fez tudo isso comigo mas prejudicou a si mesma e a própria família pegou raiva dela e até o pai disse "" a minha filha morreu"" vc não é minha filha e muito menos eu sou seu pai...ela no final me abandonou e como consequência foi abandonada pela família 😕😕😕😕😕😕",1
Engraçado que ele explica ainda nesse podcast oq é um conservador. E não tem nada haver com não ir em carnaval.,0
Ela tá certa em por o filho acima dela .. agora quem quiser segurar esse B.O,0
Muitas pessoas não prosperam por esse motivo mesmo. Outros que não prosperam é por falta de oportunidades!,0
"Imigrantes legais se beneficiam da criação de empregos quando a economia vai bem, palavras bonitas da esquerda não paga as contas.",0
"Pois é, esses homens de hj estão insuportáveis 😂",1
a mulher é Sub-Five e ainda tá fazendo exigência! essa daí eu não pego nem de graça!..🤣🤣🤣,1
"Meu irmão !!  Traição não tem perdão !! Nunca, nunca, nunca, nunca, nunca, nunca, nunca .. Otário palhaço 🤡🤡 Entregar p o recebido da foto ..",1
"Vasco: Tasco, Basco, Lasco, Rasco... 😂😂😂",0
Mulher casada não tem de estar se agarrando com outro homem mesmo caso o homem casado,0
EMPRESA QUE INVESTE NOS FUNCIONÁRIOS DEPOIS JOGA ISSO NA CARA DOS FUNCIONÁRIOS NÃO MERECE SER CHAMADO DE EMPRESA,0
Jesus tá voltando ent vamos buscar mais a ele ele te ama e quer te salvar agora só depende de vc renunciar e se arrepender dos pecados,0
"Exatamente mano, tô saindo com os camaradas todos os dias, homem está chegando sim, principalmente a caras mais novos",0
Issso eo valor de uma família.,0
Comentario maravilhoso😂😂 merece ser fixado,0
KKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKK A FUTURA DONZELA DOS SENHORES 😂😂😂😂😂😂,0
"São apenas um DETALHE. Roberto Carlos é um ser humano como outro qualquer. Ele tem muitas EMOÇÕES. Imagine enfrentar essa ROTINA de shows há décadas? Se não gosta, O PORTÃO é bem ali, AMIGO.",0
Arthur engole qualquer um (lá ele),0
"Particularmente, eu acho ridículo, homens de sobrancelhas feitas,ficam afeminado.Nós mulheres gostamos de homens másculo.💜 😘",1
Cuidado o Barco ⛵⛵⛵⛵ soldado 🪖🪖🪖🪖🪖🪖🪖🪖🪖🪖🪖🙂🙂😊,0
"Estão menos sensíveis.Nós anos 60, éramos livres na ditadura, a liberdade era interior..O que me fortalece é a religião.Amo !",1
Simplesmente eu deixo ela  largo,0
"E voltar com o Miliciano e o Jegues, não,  ",0
@  Concordo 100% com vc. Uma vida sem PREOCUPAÇÃO em levar mulher para passear.,0
"Choque de realidade nem os da Tomada 220, as influences já botaram na cabeça delas que o homem só serve para servir.",1
Isso mesmo fez certinho tem que  dá um dura só  assim que aprende ❤😂,1
"Quando esse lance de ficar começou, quem mais se beneficiou foi as mulhres.",1
O cara se eu fosse  ele dava um pe na bunda dela na  mesma hora mas acho que ele é  so amigo mesmo dela  não  acredito que um homem  deverdade  escutaria isso e não  terminaria na mesma hora,1
E se fosse homem fazendo isso um vídeo desse ?,0
"Nas enchentes no Rio Grande do Sul, na hora colocaram os Homens lá, para ajudar enquanto, colocaram nas tvs abertas podres feministas, elas, dando entrevistas.E os Homens lá si fudendo.Tentam forçar a barra, como se elas fossem, as poderosas chefonas, nas entrevistas.Os Homens, não tem que ajudar em nada!! O estado misandrico feminista bostileiro, agem como os Homens não existissem.Na hora que o cerco aperta, chama os Homens.Quando não é nescessário exclue os mesmos.Isso tem que acabar!! União Nacional entre os Homens já!!✊",1
"Se o cara for ligeiro, primeiro ele vai ser padrasto, pra usufruir o restinho de suco que ainda possa haver na mãe. Depois que ele experimentar a mãe e enjoar, ele vai pra cima da Yasmin, virando namorado da filha e ex da mãe. Como as duas são concorrentes, a filha vai aceitar o padrasto como namorado e a mãe vai aceitar ser amante do namorado da filha.Daqui a alguns anos, veremos a notícia trágica no Cidade Alerta.",1
É mais fácil melhorar a aparência do que conseguir esse tipo de bem,0
Ele tem que escolher a própria companhia. Mgtow forever. Viver a solitude.,0
"eu perco o interesse qdo descubro que é rodada, rapidamente perco a admiração, o respeito, prefiro gp pq sao ate mais higiênicas e nao passam doença.",1
o problema dos homens é colocar os bens no próprio nome.😂😂,0
Tá mas é daí q ela é cristã? Princípios morais existem dentro e fora das crenças.,0
"A bebida foi criada para dar prazer e alegria, porém tudo que é em excesso é prejudicial, a bebida é só para quem sabe beber.",0
Ela não daria 10 passos pra ir na casa dele kkkk,0
Eu segurava girava e jogava do outro lado do muro👍,1
Simples: por que a maioria dos homens está mais preocupado com o CORPO dela do que a condição financeira. Como eu já discuti com algumas femimis: Tira o S3X0 da mulher que eu quero ver o que ela vai ter de interessante para oferecer.,1
"Se eu ainda existir neste mundo,  quero vê os frutos colhidos.",0
"Boas mulheres são raridade hoje em dia, quem tiver a sua trate bem por que de duas uma, ou ficar sozinho ou com uma dessas tranqueiras de hoje que não valem nada. Falou muitíssimo bem a moça do vídeo.",1
"o Homem MACACO que ela conheceu, por isso.",1
Fica dando a entender que ela só vai entrar com a piriquita no relacionamento. Assim é bom D +. 😂😂,1
"Na sua opinião, como um cara que é negro como eu deve enxergar a Black?",0
"Coitada kkkkkkkkkkkk, corre o risco de ser assassinada , a famosa queima de arquivo 😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑",1
Só sei q esse cara tá sem moral nenhuma agora,1
"Deus nos livre desse mal / mau. De todo Mal / Mau, Amém !",0
Boa sorte pra conseguir um homem assim fia 😂😂😂,0
"Pois é, um cara que defende fronteiras arreganhadas e liberação de narcóticos só pode ser dessa vertente aí mesmo.",0
"ser fe luz e que nem maluco ,aperta o botao do foda-se e ninguem segura!!!",0
"  Isso aconteceu comigo, fui preso em flagrante sem nenhuma  prova material pq a palavra da mulher está acima da presunção de inocência quando se trata de importunação sexual, ou seja, em casos de ""crimes"" contra a mulher não existe presunção de inocência. A diferença é que nunca vi a mulher na vida e não dei em cima dela, pelo contrário, ela que tava se roçando em mim. É o Brasil... Deixa de ser gado! Se a lei permite que um homem seja preso com ausência de materialidade e indício de autoria, logo terá muitas denúncias falsas e prisões arbitrárias.",1
Meu amigo você   nao está preparado para nada porque o sentiEnto amor a gente não  escolhe o amor acontece é  como um acidente e n,0
"aí depois ela vai dizer que o cara assediou ela, tipo assim uma armadilha entendeu",1
"Isso pode até ser um teatro mas isso pode acontecer sim é fato a juventude de hoje é muitas vezes vazios e infelizmente, que triste",0
Mulher não tá nem ai pra homem. Aceita q dói menos,1
"Aos mais novos, que acreditam no conservadorismo como solução, aconselho-os a procurar o texto acerca da bolha misândrica que saiu até no New York times deve ter mais de 10 anos. O homem conservador é o mais insalubridade e o que mais caga regra aos outros. A pegada desse texto vai na linha de que, por mais que haja um sistema feminista, elas não conseguiriam prejudicar um homem sem o aval e a chancela do homem tradcon e o mesmo faz na intenção de se aparentar cavalheiresco. Recomendo",0
Quando a minha família me pergunta porque me mantenho afastado de brasileiros no exterior…,1
"E por isso Bruno,  não deve casar.Cuide de sua mamãe até ela ir embora morar com Deus. Pessoas que pensam assim, melhor que não casem.",0
Todo castigo pra A.T.U.P é pouco,1
"sempre é assim quando é pego começa chorar kkkkkk, e ainda culpa os homens é brincadeira absurdo",1
Gosto muito das expressões do rapaz ❤😂,0
"  ele ache que  não consiga namorar porque as minas tem vergonha de se aproximar e puxar. Mas isso é um mito, as mulheres realmente vão puxar assunto quando verem um homem atraente.",0
"Ei padrinho, prato cheio pra você, o GADO do Arthur Petri ferrou com um amigo de longa data por causa de birra da mulher.",1
Ela usou os 900 em alguma droga 😂😂,1
É o tempo passa pra todos !!😎🫡,0
Retrocesso os imbecis estão tomando conta do Brasil. Tbm conhecidos como bostileiros...,1
"Camarada, quem abaixa muito a cabeça,acaba mostrando a bunda!Deixa essa desgraça ir embora.",1
"É infelizmente existe esse tipo de aceitação, o mundo vai a cada dia ficando pior.",0
"Fique a vontade, eu sai da plantação e não retorno nunca mais, nem sobe ameaça do estado ou seja o que for.",0
"A grana de um, a jamba de outro.",1
"@ -fo4im sim. Mas você não sabe se é esse o ""motivo"" dele. Na maioria das vezes, são homens imaturos que não aguentam a responsabilidade de um casamento. Na minha humilde opinião, não deveriam nem namorar se não estão prontos para casar",1
"olha, muitos homens não conseguiram atingir esse nível, voltando à estaca zero. Mas a verdade é que, no meio do caos emocional, é onde mora o perigo. Os homens ficam vulneráveis a um sistema que não tem pena de quem se apega. Então, o que vocês precisam entender é que esse desapego não é uma opção, é uma necessidade de sobrevivência nesse jogo desigual.",1
"O cara que tem o poder de ficar com várias ele vai e pode exigir uma sem rodagem, porque, porque ele pode e ele vai escolher a menos rodada sim",1
Eu acho que ela esta zuando! Foi ela que cagou no feio quando ele foi embora...,1
"@  Sair pode , não pode é levar a sério.",0
Mulher inteligente gostei e isso mesmo  vc mora com ele não com paremte,0
Quem também assiste o Padrinho na velocidade 2x dá um salve ae!!,0
"O pior de tudo mano as vezes agente dá de tudo ah uma mulher até msm sem poder só pra agradar, mas vem outro que nunca deu ah ela nem um chiclete, e ela traí o marido e ainda quer que agente perdoa ponto final Fim sem choro.",1
