id_comentario_anonimizado,comentario,final_misoginia,final_toxicidade,texto_analise,score_perspective_max,latencia_api,detalhe_toxicity,detalhe_severe,detalhe_identity,detalhe_insult,tipo_origem,unified_label,original_label_column
comentario_306692,É pior que a maioria delas se orgulham do passado delas. Ainda bem que o cara descobriu se não estaria condenado a viver em um inferno pelo resto da vida.Esse rapaz teve foi um livramento dos grandes e com certeza deve ter dado testemunho a outros. O futuro de uma pessoa ser bem sucedida na vida é ter um bom currículo e bom histórico  no passado para que o  futuro será excelente e próspero na vida.,1,1,É pior que a maioria delas se orgulham do passado delas. Ainda bem que o cara descobriu se não estaria condenado a viver em um inferno pelo resto da vida.Esse rapaz teve foi um livramento dos grandes e com certeza deve ter dado testemunho a outros. O futuro de uma pessoa ser bem sucedida na vida é ter um bom currículo e bom histórico  no passado para que o  futuro será excelente e próspero na vida.,0.085582085,0.10293984413146973,0.085582085,0.0025177002,0.005253696,0.03158728,comentarios_misoginia,1,final_misoginia
comentario_68694,A história da chave e do cadeado,0,0,A história da chave e do cadeado,0.013257195,0.12544488906860352,0.013257195,0.00089645386,0.0017943961,0.008633883,comentarios_misoginia,0,final_misoginia
comentario_2024273,"Não precisa ser raparigueiro para cair nesse golpe, basta ter o azar de dar carona para uma vagabunda destas daí, aqui em Brasília muitos coroas caíram nesse golpe de dar carona para certas minas bonitas!",1,1,"Não precisa ser raparigueiro para cair nesse golpe, basta ter o azar de dar carona para uma vagabunda destas daí, aqui em Brasília muitos coroas caíram nesse golpe de dar carona para certas minas bonitas!",0.5130944,0.10533618927001953,0.50503236,0.2733782,0.25986546,0.5130944,comentarios_misoginia,1,final_misoginia
comentario_1848912,"  está sentindo o que a maioria delas cobram de seus parceiros, trabalhar fora, ajudar nos trabalhos de casa e  ser amoroso...🤷🏽‍♀️",0,0,"  está sentindo o que a maioria delas cobram de seus parceiros, trabalhar fora, ajudar nos trabalhos de casa e  ser amoroso...🤷🏽‍♀️",0.045873325,0.10252261161804199,0.045873325,0.00096321106,0.0068076057,0.02212623,comentarios_misoginia,0,final_misoginia
comentario_1995049,O egoísmo é foda... Às vezes pensar somente em si faz o outro sofrer. E quem não tiver empatia para se colocar no lugar do outro não vai conseguir enxergar os problemas. Quando resolver abrir os olhos será tarde demais.Mas é isso. As pessoas não valorizam as boas coisas que possuem. Costumam valorizar só depois que perdem ou quando fazem as escolhas erradas.É como esse marido imbecil.,0,1,O egoísmo é foda... Às vezes pensar somente em si faz o outro sofrer. E quem não tiver empatia para se colocar no lugar do outro não vai conseguir enxergar os problemas. Quando resolver abrir os olhos será tarde demais.Mas é isso. As pessoas não valorizam as boas coisas que possuem. Costumam valorizar só depois que perdem ou quando fazem as escolhas erradas.É como esse marido imbecil.,0.5739874,0.10486507415771484,0.52139956,0.12019568,0.051808115,0.5739874,comentarios_misoginia,0,final_misoginia
comentario_2625054,E ajudar o ajudante a ser pedreiro… casei com um ajudante e de tanto falar na cabeça dele hoje ele é pedreiro e eletricista.,0,0,E ajudar o ajudante a ser pedreiro… casei com um ajudante e de tanto falar na cabeça dele hoje ele é pedreiro e eletricista.,0.022610499,0.11949896812438965,0.022610499,0.00061511993,0.0014706649,0.019032324,comentarios_misoginia,0,final_misoginia
comentario_1008453,"Estão solteiros porque não querem ter responsabilidades ,nem querem ficar preso em uma só mulher, safadeza está no DNA deles .",0,1,"Estão solteiros porque não querem ter responsabilidades ,nem querem ficar preso em uma só mulher, safadeza está no DNA deles .",0.40975618,0.10966634750366211,0.3722269,0.022710243,0.26325142,0.40975618,comentarios_misoginia,0,final_misoginia
comentario_1495713,Ele tava possuído pelo 9 CASCOS do PT,0,1,Ele tava possuído pelo 9 CASCOS do PT,0.11150667,0.11855387687683105,0.11150667,0.005264282,0.011025362,0.06739554,comentarios_misoginia,0,final_misoginia
comentario_1624418,"@ -iz6cnSe não vai pagar não vai comer , é namoro mas vai querer sexo né ? Então não paga não come 😂",0,1,"@ -iz6cnSe não vai pagar não vai comer , é namoro mas vai querer sexo né ? Então não paga não come 😂",0.3250515,0.11233639717102051,0.3250515,0.019224197,0.015958117,0.08410009,comentarios_misoginia,0,final_misoginia
comentario_1583300,"VERDADE CRIA JUIZO PAIZÃO,  METE MARCHA",0,0,"VERDADE CRIA JUIZO PAIZÃO,  METE MARCHA",0.048842013,0.11005187034606934,0.048842013,0.0017356873,0.0038292783,0.032468732,comentarios_misoginia,0,final_misoginia
comentario_704368,"Sempre fui assim, porém fui chamada de chato e com o apoio da ordinária da mãe, preferiram me mandar embora de casa, porém não desisti da minha filha e por amor a ela contínuo cuidando dela mesmo nao morando mais juntos.",0,1,"Sempre fui assim, porém fui chamada de chato e com o apoio da ordinária da mãe, preferiram me mandar embora de casa, porém não desisti da minha filha e por amor a ela contínuo cuidando dela mesmo nao morando mais juntos.",0.016587202,0.13818931579589844,0.016587202,0.00068187714,0.0024418586,0.014048916,comentarios_misoginia,0,final_misoginia
comentario_1241138,"Nunca vi tanto fracassado em uma sessão de comentários, só não é mais fracassado de quem fez o video",0,1,"Nunca vi tanto fracassado em uma sessão de comentários, só não é mais fracassado de quem fez o video",0.47273466,0.1340010166168213,0.4269174,0.018836858,0.026207991,0.47273466,comentarios_misoginia,0,final_misoginia
comentario_1089178,"Eu faria a mesma coisa, mais que corta o coração 😢😢. Tão linda!!!😊😊.",0,0,"Eu faria a mesma coisa, mais que corta o coração 😢😢. Tão linda!!!😊😊.",0.015393426,0.10081315040588379,0.015393426,0.0010871887,0.0011376841,0.006838372,comentarios_misoginia,0,final_misoginia
comentario_1551226,Tá mas é daí q ela é cristã? Princípios morais existem dentro e fora das crenças.,0,0,Tá mas é daí q ela é cristã? Princípios morais existem dentro e fora das crenças.,0.053295042,0.1200568675994873,0.053295042,0.0020694733,0.044612918,0.018581128,comentarios_misoginia,0,final_misoginia
comentario_1299736,"O duro é ouvir essas doentes feminazis dizerem aquelas frases que homens não prestam, que são todos iguais e aquele monte de frases repetidas...Homens de verdade são assim...eu trabalho 14 horas por, trato minha esposa como um Rainha, pois ela se porta como uma..Homens assumem uma mulher a são capazes de amá la mesmo ela sendo desempregada, sem dinheiro.",1,1,"O duro é ouvir essas doentes feminazis dizerem aquelas frases que homens não prestam, que são todos iguais e aquele monte de frases repetidas...Homens de verdade são assim...eu trabalho 14 horas por, trato minha esposa como um Rainha, pois ela se porta como uma..Homens assumem uma mulher a são capazes de amá la mesmo ela sendo desempregada, sem dinheiro.",0.5678696,0.1050863265991211,0.52272606,0.27908814,0.5039629,0.5678696,comentarios_misoginia,1,final_misoginia
comentario_1137856,"DO FUSCA, DO CHIFRE, DA MORTE  NINGUÉM  ESCAPA; ATÉ  PORQUE  O CORNO(A) NA MAIORIA  DAS  VEZES NEM FICA SABENDO.",0,0,"DO FUSCA, DO CHIFRE, DA MORTE  NINGUÉM  ESCAPA; ATÉ  PORQUE  O CORNO(A) NA MAIORIA  DAS  VEZES NEM FICA SABENDO.",0.2412222,0.09810733795166016,0.2412222,0.016190045,0.014551271,0.15343215,comentarios_misoginia,0,final_misoginia
comentario_683099,Não tô afim de ser canalha nem cafajeste nem galinha nem malandro nem cara mau nem psicopata por causa de mulher. Se for assim continuo sozinho mesmo. E também não quero mulher assim.,0,0,Não tô afim de ser canalha nem cafajeste nem galinha nem malandro nem cara mau nem psicopata por causa de mulher. Se for assim continuo sozinho mesmo. E também não quero mulher assim.,0.4555076,0.1170344352722168,0.42985553,0.16960317,0.44690517,0.4555076,comentarios_misoginia,0,final_misoginia
comentario_1642042,Só quem trabalhou ou trabalha em um ambiente que só tem mulher sabe como funciona.Parece que vira uma chave na cabeça das fêmeas!,1,1,Só quem trabalhou ou trabalha em um ambiente que só tem mulher sabe como funciona.Parece que vira uma chave na cabeça das fêmeas!,0.1693855,0.11231756210327148,0.1693855,0.0118255615,0.14875233,0.0838533,comentarios_misoginia,1,final_misoginia
comentario_2229499,"@  Pergunte pro seus políticos. Acho que é até impressionante que eles permitam as pessoas se esterilizarem aos 21 sem ter filhos, considerando nossa crise demográfica. Se você tem entre 18 e 21 talvez você possa criar uma história e mentir que já tem 2 filhos, se não me engano eles não investigam nada.",0,0,"@  Pergunte pro seus políticos. Acho que é até impressionante que eles permitam as pessoas se esterilizarem aos 21 sem ter filhos, considerando nossa crise demográfica. Se você tem entre 18 e 21 talvez você possa criar uma história e mentir que já tem 2 filhos, se não me engano eles não investigam nada.",0.13041082,0.12891268730163574,0.13041082,0.0023651123,0.008028535,0.06722072,comentarios_misoginia,0,final_misoginia
comentario_259973,"Eles deveriam ser presos na hora em que abrissem o processo, mais o Brasil e formado por milhões de pessoas algumas com formação academia e. Vidas bem estruturadas e muitas com religiões diversas, mais as pessoas só criticam e xingam fazendo intrigas disso ou daquilo mais não agem temos que defender a atitude dessas empresas nos somos o Brasil temos que agir",0,1,"Eles deveriam ser presos na hora em que abrissem o processo, mais o Brasil e formado por milhões de pessoas algumas com formação academia e. Vidas bem estruturadas e muitas com religiões diversas, mais as pessoas só criticam e xingam fazendo intrigas disso ou daquilo mais não agem temos que defender a atitude dessas empresas nos somos o Brasil temos que agir",0.11378009,0.10777997970581055,0.11378009,0.0045204163,0.022590388,0.07903719,comentarios_misoginia,0,final_misoginia
comentario_572199,"Eu faço amizade com as mães que levam filho no Parquinho uai.. 😅😅😅. Quando você gosta da conversa da pessoa, não tem nada demais. Não vi nada além de uma fofoqueira sem noção, ouvindo a conversa dos outros e ainda vindo passar vergonha no yt 😂😂",0,1,"Eu faço amizade com as mães que levam filho no Parquinho uai.. 😅😅😅. Quando você gosta da conversa da pessoa, não tem nada demais. Não vi nada além de uma fofoqueira sem noção, ouvindo a conversa dos outros e ainda vindo passar vergonha no yt 😂😂",0.3260917,0.15436291694641113,0.3260917,0.013607788,0.015254694,0.29855028,comentarios_misoginia,0,final_misoginia
comentario_139225,"Rsss! 😂😂😂 ""Você não falou que a gente é só amigo? Moço,  atende ela aqui por favor!""",0,0,"Rsss! 😂😂😂 ""Você não falou que a gente é só amigo? Moço,  atende ela aqui por favor!""",0.04785245,0.11795544624328613,0.04785245,0.0015354156,0.0035702933,0.023608726,comentarios_misoginia,0,final_misoginia
comentario_2609869,"@  mas no meu caso, nem dinheiro resolve. Kkkkk mas eu estou bem.",0,0,"@  mas no meu caso, nem dinheiro resolve. Kkkkk mas eu estou bem.",0.07608539,0.09015703201293945,0.07608539,0.0022411346,0.006992595,0.0198058,comentarios_misoginia,0,final_misoginia
comentario_2464638,"Olha, sei não, um bola gato por uma pizza de 60 pila e uma carona, fazendo minhas contas e considerando o preço dos programas por aqui... olha que mando entregar a pizza pra não ter que aturar a conversa furada e me paga o bqt ali mesmo😂",1,1,"Olha, sei não, um bola gato por uma pizza de 60 pila e uma carona, fazendo minhas contas e considerando o preço dos programas por aqui... olha que mando entregar a pizza pra não ter que aturar a conversa furada e me paga o bqt ali mesmo😂",0.1104733,0.10691189765930176,0.1104733,0.0023078918,0.00362579,0.046178754,comentarios_misoginia,1,final_misoginia
comentario_420575,"A roupa já define e anuncia que são marmitas, toda vez que aparece mulher com essa falta de pano.",1,1,"A roupa já define e anuncia que são marmitas, toda vez que aparece mulher com essa falta de pano.",0.004827922,0.10355734825134277,0.00015118544,1.1473894e-05,3.3384786e-05,0.004827922,comentarios_misoginia,1,final_misoginia
comentario_2469328,Que um Cavaleiro Branco seja o Salvador dessa Balzaca em fim de carreira.,1,1,Que um Cavaleiro Branco seja o Salvador dessa Balzaca em fim de carreira.,0.0048754225,0.12153244018554688,0.00025721156,2.2053719e-05,7.13943e-05,0.0048754225,comentarios_misoginia,1,final_misoginia
comentario_233589,"Mas uma mulher chamar o cara de viado nao pode ser considerado homofobia? Afinal o cara pode se declarar viado mesmo, e se considerar ofendido pela mocréia.E agora?",1,1,"Mas uma mulher chamar o cara de viado nao pode ser considerado homofobia? Afinal o cara pode se declarar viado mesmo, e se considerar ofendido pela mocréia.E agora?",0.39231625,0.14785170555114746,0.39231625,0.16960317,0.37292135,0.36193377,comentarios_misoginia,1,final_misoginia
comentario_867297,Cuidado o Barco ⛵⛵⛵⛵ soldado 🪖🪖🪖🪖🪖🪖🪖🪖🪖🪖🪖🙂🙂😊,0,0,Cuidado o Barco ⛵⛵⛵⛵ soldado 🪖🪖🪖🪖🪖🪖🪖🪖🪖🪖🪖🙂🙂😊,0.04735767,0.1315627098083496,0.04735767,0.002861023,0.0032743104,0.021997316,comentarios_misoginia,0,final_misoginia
comentario_2940627,"Estão menos sensíveis.Nós anos 60, éramos livres na ditadura, a liberdade era interior..O que me fortalece é a religião.Amo !",0,1,"Estão menos sensíveis.Nós anos 60, éramos livres na ditadura, a liberdade era interior..O que me fortalece é a religião.Amo !",0.045873325,0.12855315208435059,0.045873325,0.0016880035,0.020078164,0.023028618,comentarios_misoginia,0,final_misoginia
comentario_2743962,Quando vc não tem razão tenta calar o opositor 😢,0,0,Quando vc não tem razão tenta calar o opositor 😢,0.11223003,0.14096760749816895,0.11223003,0.0025558472,0.003144818,0.06794841,comentarios_misoginia,0,final_misoginia
comentario_1492776,A mulher ?? Saco !!! Tem que ter saco pravaturar esse bando de.mimizento do caralh@,1,1,A mulher ?? Saco !!! Tem que ter saco pravaturar esse bando de.mimizento do caralh@,0.7570315,0.12967276573181152,0.7570315,0.45895407,0.37292135,0.7065844,comentarios_misoginia,1,final_misoginia
