id_comentario_anonimizado,comentario,final_misoginia,final_toxicidade,texto_analise,score_perspective_max,latencia_api,detalhe_toxicity,detalhe_severe,detalhe_identity,detalhe_insult,tipo_origem
comentario_1848912,"  está sentindo o que a maioria delas cobram de seus parceiros, trabalhar fora, ajudar nos trabalhos de casa e  ser amoroso...🤷🏽‍♀️",0,0,"  está sentindo o que a maioria delas cobram de seus parceiros, trabalhar fora, ajudar nos trabalhos de casa e  ser amoroso...🤷🏽‍♀️",0.046368107,0.2819187641143799,0.046368107,0.001001358,0.0071035884,0.022190686,comentarios
comentario_2374701,A conta chega. Zuou como se não houvesse amanhã. Só que o amanhã chegou.,0,0,A conta chega. Zuou como se não houvesse amanhã. Só que o amanhã chegou.,0.017843807,0.2774486541748047,0.017843807,0.0006914139,0.001276426,0.012718908,comentarios
comentario_271384,Deu no G1 que o Moreno Tatuado já está fazendo um regime e malhando os braços,0,0,Deu no G1 que o Moreno Tatuado já está fazendo um regime e malhando os braços,0.11119666,0.29640960693359375,0.11119666,0.0048065186,0.009175468,0.06652143,comentarios
comentario_704368,"Sempre fui assim, porém fui chamada de chato e com o apoio da ordinária da mãe, preferiram me mandar embora de casa, porém não desisti da minha filha e por amor a ela contínuo cuidando dela mesmo nao morando mais juntos.",0,1,"Sempre fui assim, porém fui chamada de chato e com o apoio da ordinária da mãe, preferiram me mandar embora de casa, porém não desisti da minha filha e por amor a ela contínuo cuidando dela mesmo nao morando mais juntos.",0.015833238,0.27159547805786133,0.015833238,0.0006580353,0.0023678627,0.013554913,comentarios
comentario_1884143,"Surreal bróder, mas essas pessoas que ganham muito dinheiro de maneira repentina acabam não tendo estrutura psicológica e emocional pra fazer bom uso do patrimônio.",0,0,"Surreal bróder, mas essas pessoas que ganham muito dinheiro de maneira repentina acabam não tendo estrutura psicológica e emocional pra fazer bom uso do patrimônio.",0.09112182,0.30614805221557617,0.09112182,0.0015354156,0.009619443,0.05964688,comentarios
comentario_77487,Bora traduzir porque tá veia .Frescura pra falar o óbvio.,0,0,Bora traduzir porque tá veia .Frescura pra falar o óbvio.,0.11181668,0.29746127128601074,0.11181668,0.0026893616,0.0046247323,0.06599696,comentarios
comentario_1089178,"Eu faria a mesma coisa, mais que corta o coração 😢😢. Tão linda!!!😊😊.",0,0,"Eu faria a mesma coisa, mais que corta o coração 😢😢. Tão linda!!!😊😊.",0.015393426,0.26358485221862793,0.015393426,0.0010871887,0.0011376841,0.006838372,comentarios
comentario_376754,A mulher sempre acha que o homem quer fazer algo com ela ...e ela tem razão tem muito homem ruim igual ele falou nao importa a cor o que se leva em conta é a maldade...esse cara é uma boa pessoa com certeza tera alguém esperando a alma desse justo se um dia ele partir,1,1,A mulher sempre acha que o homem quer fazer algo com ela ...e ela tem razão tem muito homem ruim igual ele falou nao importa a cor o que se leva em conta é a maldade...esse cara é uma boa pessoa com certeza tera alguém esperando a alma desse justo se um dia ele partir,0.14429577,0.2699699401855469,0.14429577,0.007095337,0.03919895,0.07270074,comentarios
comentario_2292130,Meu Deus do céu q mundo é esse Jesus,0,0,Meu Deus do céu q mundo é esse Jesus,0.03545588,0.2678089141845703,0.03545588,0.0025749207,0.008361516,0.017420914,comentarios
comentario_2771484,Eu acho que a maioria dos homens pensariam que os corpos deles pertencem a eles então vão reclamar,0,0,Eu acho que a maioria dos homens pensariam que os corpos deles pertencem a eles então vão reclamar,0.1269396,0.28025364875793457,0.1269396,0.005378723,0.04203484,0.029604018,comentarios
