id_comentario_anonimizado,comentario,final_misoginia,final_toxicidade,texto_analise,score_perspective_max,latencia_api,detalhe_toxicity,detalhe_severe,detalhe_identity,detalhe_insult,tipo_origem
comentario_1842406,"@  tá vendo que relato padrinho, que essas pilantras são capazes de aprontar, quem não ouvir seus conselhos vai pra sarjeta, enquanto a pilantras vai tá sentando em várias mandiocas",1,1,"@  tá vendo que relato padrinho, que essas pilantras são capazes de aprontar, quem não ouvir seus conselhos vai pra sarjeta, enquanto a pilantras vai tá sentando em várias mandiocas",0.28857216,0.32170629501342773,0.28857216,0.009841919,0.022992345,0.24928534,comentarios
comentario_2910234,"@ -et8so ele não combina, só pede permissão antes de gravar kkkkkk",0,0,"@ -et8so ele não combina, só pede permissão antes de gravar kkkkkk",0.19599396,0.26976633071899414,0.19599396,0.008773804,0.014450782,0.039444692,comentarios
comentario_2328204,"Eu concordo! Não estou falando de educação respeitosa, mas sim onde os pais sabem se posicionar e mostrar autoridade, e realmente educar e preparar seus filhos para essa selva que chamamos de ""viver em sociedade"" kkk",0,0,"Eu concordo! Não estou falando de educação respeitosa, mas sim onde os pais sabem se posicionar e mostrar autoridade, e realmente educar e preparar seus filhos para essa selva que chamamos de ""viver em sociedade"" kkk",0.1460314,0.28124451637268066,0.1460314,0.009269714,0.06294931,0.06826523,comentarios
comentario_2717882,"Isso não é verdade, tem mulheres honradas sim. Eu me converti criança e graças a Deus nunca fiz coisas erradas. Peco porque perfeição só em Jesus, mas nunca fiz sexo de nenhuma forma com ninguém, me guardo para meu futuro esposo. Tento ser uma pessoa melhor a cada dia. Não generalizem, assim como tem mulheres que não prestam, tem muitos homens também. Contudo, ainda tem pessoas de valor.",1,0,"Isso não é verdade, tem mulheres honradas sim. Eu me converti criança e graças a Deus nunca fiz coisas erradas. Peco porque perfeição só em Jesus, mas nunca fiz sexo de nenhuma forma com ninguém, me guardo para meu futuro esposo. Tento ser uma pessoa melhor a cada dia. Não generalizem, assim como tem mulheres que não prestam, tem muitos homens também. Contudo, ainda tem pessoas de valor.",0.13041082,0.29440736770629883,0.13041082,0.0062561035,0.039456755,0.03235855,comentarios
comentario_1995049,O egoísmo é foda... Às vezes pensar somente em si faz o outro sofrer. E quem não tiver empatia para se colocar no lugar do outro não vai conseguir enxergar os problemas. Quando resolver abrir os olhos será tarde demais.Mas é isso. As pessoas não valorizam as boas coisas que possuem. Costumam valorizar só depois que perdem ou quando fazem as escolhas erradas.É como esse marido imbecil.,0,1,O egoísmo é foda... Às vezes pensar somente em si faz o outro sofrer. E quem não tiver empatia para se colocar no lugar do outro não vai conseguir enxergar os problemas. Quando resolver abrir os olhos será tarde demais.Mas é isso. As pessoas não valorizam as boas coisas que possuem. Costumam valorizar só depois que perdem ou quando fazem as escolhas erradas.É como esse marido imbecil.,0.5739874,0.22974324226379395,0.52139956,0.12282934,0.051580742,0.5739874,comentarios
comentario_2625054,E ajudar o ajudante a ser pedreiro… casei com um ajudante e de tanto falar na cabeça dele hoje ele é pedreiro e eletricista.,0,0,E ajudar o ajudante a ser pedreiro… casei com um ajudante e de tanto falar na cabeça dele hoje ele é pedreiro e eletricista.,0.02107848,0.29404711723327637,0.02107848,0.00057935715,0.0013781702,0.018258847,comentarios
comentario_927749,Eu fui traída filha sempre fui uma mulher legal,0,0,Eu fui traída filha sempre fui uma mulher legal,0.11652588,0.26422595977783203,0.11652588,0.005722046,0.034558404,0.028502205,comentarios
comentario_2780441,Só tem aparênciaNem toda gp faz isso,1,0,Só tem aparênciaNem toda gp faz isso,0.011623607,0.2650623321533203,0.011623607,0.0005197525,0.0019053896,0.009640889,comentarios
comentario_1497886,Ter marido sem caráter muito melhor fica só eles não melhoram não só perca de tempo !,0,0,Ter marido sem caráter muito melhor fica só eles não melhoram não só perca de tempo !,0.24928534,0.26879382133483887,0.2412222,0.0063323975,0.019173764,0.24928534,comentarios
comentario_2621755,O pessoal criticando ela sem ter a consciência de que a vida é  dela e faz o quê  quer.,0,0,O pessoal criticando ela sem ter a consciência de que a vida é  dela e faz o quê  quer.,0.03969839,0.2770700454711914,0.03969839,0.0008249283,0.00258985,0.028832749,comentarios
comentario_1299736,"O duro é ouvir essas doentes feminazis dizerem aquelas frases que homens não prestam, que são todos iguais e aquele monte de frases repetidas...Homens de verdade são assim...eu trabalho 14 horas por, trato minha esposa como um Rainha, pois ela se porta como uma..Homens assumem uma mulher a são capazes de amá la mesmo ela sendo desempregada, sem dinheiro.",1,1,"O duro é ouvir essas doentes feminazis dizerem aquelas frases que homens não prestam, que são todos iguais e aquele monte de frases repetidas...Homens de verdade são assim...eu trabalho 14 horas por, trato minha esposa como um Rainha, pois ela se porta como uma..Homens assumem uma mulher a são capazes de amá la mesmo ela sendo desempregada, sem dinheiro.",0.5678696,0.27788519859313965,0.52272606,0.27908814,0.5039629,0.5678696,comentarios
comentario_1325041,"Gostei desse episódio e da convidada, ganhou mais um inscrito nas redes!",0,0,"Gostei desse episódio e da convidada, ganhou mais um inscrito nas redes!",0.005660365,0.26221728324890137,0.003754111,0.00029563904,0.00076770555,0.005660365,comentarios
comentario_151917,Olha a voz dessa rapariga kkkkkk,1,1,Olha a voz dessa rapariga kkkkkk,0.5101222,0.31125497817993164,0.44002727,0.024772761,0.04822223,0.5101222,comentarios
comentario_386687,O catolicismo tá vindo com tudo,0,0,O catolicismo tá vindo com tudo,0.1013248,0.2686655521392822,0.1013248,0.004711151,0.08004672,0.020385906,comentarios
comentario_683099,Não tô afim de ser canalha nem cafajeste nem galinha nem malandro nem cara mau nem psicopata por causa de mulher. Se for assim continuo sozinho mesmo. E também não quero mulher assim.,0,0,Não tô afim de ser canalha nem cafajeste nem galinha nem malandro nem cara mau nem psicopata por causa de mulher. Se for assim continuo sozinho mesmo. E também não quero mulher assim.,0.4534306,0.3029184341430664,0.4274071,0.16960317,0.44690517,0.4534306,comentarios
comentario_2185944,"A red nunca falha, a casa da dignissima em péssimas condições e falando que não quer homem liso daqui a pouco acaba o gás dela 😂😂 e vem pedir pix.",1,1,"A red nunca falha, a casa da dignissima em péssimas condições e falando que não quer homem liso daqui a pouco acaba o gás dela 😂😂 e vem pedir pix.",0.27525392,0.2608528137207031,0.27525392,0.015609037,0.022590388,0.24928534,comentarios
comentario_2150068,"NUNCA que eu deixaria minha sogra sentar na parte de trás, ela é uma mulher mais de idade e merece respeito.",0,0,"NUNCA que eu deixaria minha sogra sentar na parte de trás, ela é uma mulher mais de idade e merece respeito.",0.23162876,0.26377248764038086,0.23162876,0.0073242188,0.016259583,0.034011267,comentarios
comentario_1104045,"Nada, cuida da tua vida pivete",0,1,"Nada, cuida da tua vida pivete",0.41767508,0.27784180641174316,0.36867723,0.019482423,0.018168874,0.41767508,comentarios
comentario_58314,"Pela cara dele, ele estava gostando. Isso é nojento, concordo com a fala dela, a decadência da raça humana, feminismo reverso.",0,1,"Pela cara dele, ele estava gostando. Isso é nojento, concordo com a fala dela, a decadência da raça humana, feminismo reverso.",0.34782293,0.293487548828125,0.3389984,0.023076924,0.28034934,0.34782293,comentarios
comentario_2464638,"Olha, sei não, um bola gato por uma pizza de 60 pila e uma carona, fazendo minhas contas e considerando o preço dos programas por aqui... olha que mando entregar a pizza pra não ter que aturar a conversa furada e me paga o bqt ali mesmo😂",1,1,"Olha, sei não, um bola gato por uma pizza de 60 pila e uma carona, fazendo minhas contas e considerando o preço dos programas por aqui... olha que mando entregar a pizza pra não ter que aturar a conversa furada e me paga o bqt ali mesmo😂",0.11036996,0.2996535301208496,0.11036996,0.0023269653,0.0037182847,0.046178754,comentarios
comentario_2169797,Só essa voz já embrulha o estômago,0,1,Só essa voz já embrulha o estômago,0.03875561,0.26803088188171387,0.03875561,0.0014686584,0.0015076627,0.017012933,comentarios
comentario_534571,"Quando o cara asstir muito comedia de traição, stand de comédia que e6de ouratia e nao sabe nada de biologia kkkkNao houve contato físico kkkO cara nao tocou nela kkk",0,0,"Quando o cara asstir muito comedia de traição, stand de comédia que e6de ouratia e nao sabe nada de biologia kkkkNao houve contato físico kkkO cara nao tocou nela kkk",0.24282593,0.23711013793945312,0.24282593,0.016706496,0.018771807,0.17361937,comentarios
comentario_2469328,Que um Cavaleiro Branco seja o Salvador dessa Balzaca em fim de carreira.,1,1,Que um Cavaleiro Branco seja o Salvador dessa Balzaca em fim de carreira.,0.0048445472,0.2755908966064453,0.00021499746,7.636845e-06,3.6853333e-05,0.0048445472,comentarios
