id_comentario_anonimizado,comentario,final_misoginia,final_toxicidade
comentario_1234549,Pode procurar q no dela vai achar as pessoas te julga pelos q elas são,0,0
comentario_957097,Terminei casamento de 20 anos tb porque percebi que eu era apenas uma empregada e nem pra namorar servia mais...o celular era mais importante,0,0
comentario_2218724,O verdadeiro  sentido  comer  gato  por lebre 😂kkkkkk,0,0
comentario_2354198,Forçada essa história mas n dúvido de nada!!! Mesmo assim correu risco de pagar pensão sócio afetiva e até uma falsa acusação da Maria da Penha ou de estupro de vulnerável.,0,0
comentario_1846357,Adorei tenho 52 anos todos que chegam perto de mim acha que eu tenho 25 fala que eu estou mentindo vou fazer 53 anos sou nascida 1972 30 de maio só que às vezes nem eu acredito que eu tenho isso tudo de idade Por que o meu corpo não responde a minha energia da minha idade sou ligada a 220 e pergunta para minha mãe se ela me registrou errada e as pessoas falam a mesma coisa uma qualidade Observe os pensamentos das outras pessoas é muito assustador sou um pouco mutante nunca engane com as pessoas recebo download do negativo ou positivo das pessoas é por isso que eu sou uma pessoa bem preservada Por que conhecer O negativo das pessoas ajuda não nos machucar na vida ou seja espírito elevado qualidade de vida não tá nem aí para os problemas sempre inventar Soluções,0,0
comentario_854010,"Vergonha, percebe-se que ela é tímida",0,0
comentario_124536,Mulheres Rússas vocês são um☝️ presente 🎁 de Deus vocês são mulheres completas para nós brasileiros estamos sofrendo nos ajudem.😊,1,0
comentario_142519,"chamaram duas mulheres contra o feminismo pra falar de feminismo, não teve contraponto, então não fez sentido algum porque não houve debate antagônico.",0,0
comentario_391450,"Se fosse nos anos 80, só o chinelo já resolvia.... Sonho realizado com sucesso e uma chinelada no crânio 😅",0,1
comentario_2749490,Falou a golpista que quer mais dinheiro do ex !!! Trabalhar ela não quer,1,1
comentario_2519067,Imagina uma MERDA dessa dando cria!!!!,0,1
comentario_2677177,"O que eu vejo nesses videos é um ""declararam guerra entao é guerra"" porque elas estão forçando demais é como se fosse uma resposta pra nossas reclamações e exigencias daí nas entrelinhas desses videos elas estão falando ""é isso mesmo! Vamos continuar exigindo e agora descaradamente, homem liso fica sozinho, vc tem que pagar sim, nós não abaixaremos a regua, continuaremos e ate aumentaremos a exigencia"" mas claro é um grupo nao a sociedade feminina inteira. Digo isso porque reparem nesses videos se não esta uma coisa forçada?",1,0
comentario_1842406,"@  tá vendo que relato padrinho, que essas pilantras são capazes de aprontar, quem não ouvir seus conselhos vai pra sarjeta, enquanto a pilantras vai tá sentando em várias mandiocas",1,1
comentario_745578,Os caras só ficam ate achar uma melhor.,1,0
comentario_1723569,Esse cara é muito grande super pai❤❤❤❤❤,0,0
comentario_836413,Obrigada por esse comentário irei seguir,0,0
comentario_2790237,"sou de goias e direto ouço os vizinhos aqui com uma que diz, ""a mulher que ele ama esta casando outro msm assim que ele é  homen da vida dela é ele"" e o cara ainda chora por ela kkkkkk, dá nao vei ouvir essas musicas, intankável",0,0
comentario_2983413,Só consigo  me lembro de quanto o Alan da série  Dois homens e meio sofreu na mão da ex esposa,0,0
comentario_232537,As mulheres estão ficando só. Os homens estão pensando muito antes de se casar.,0,0
comentario_1407990,📕 - AntiOtário 🔱 - Código Masculino🚩 - Red Flags🔞 - Antiporn*🧘 - Lições Perpétuas🔐 - Entrada no Grupo PrivadoEsse é apenas o começo! 📚🗿👇🔗 | https://hotm.art/ComboManual,0,0
comentario_2691461,"Fez muito bem, se continuar ela vai trair de novo!",0,1
comentario_2657721,Se você gosta de mulher maromba tenho uma má notícia pra você...,1,1
comentario_2012710,"Dubai não é islã cara, que merda, quer falar em islã de verdade é Irã, Iraque, onde a lei é a Sharia. Dubai flexibilizou as leis e regras para ocidentais  investir e morar ali, depois que o príncipe herdou o trono ele mudou tudo. Não fale o que não sabe, já disse isso mil vezes. Turquia, Dubai e outros estados que se diz islã mas não é, o islã de verdade é o que segue a Sharia, simples assim, o islã de verdade é o que a mulher quebrou a lei da Sharia é morta ou leva 90 chibatadas. Se você mudar as leis de um país pra possibilitar a entrada de ocidentais visando dinheiro dá nisso mesmo. Você tem que escolher a putaria e dinheiro ou as regras da Sharia e ficar ficar isolado.Se vc flexibilizar ou mudar as leis claro que as mulheres fará merda, não se trata de mulher ocidental e mulher oriental ser boa ou ruim, é as leis meu caro, no Irã ela se comporta porque a lei diz que se não se comportar morre, aqui no Brasil se a lei disse pode roubar, todo mundo vai roubar mesmo quem supostamente é correto, porque quando o correto e roubado a todo tempo ele percebe que ou rouba também ou morrerá de fome, acorda cacete, Dubai não segue mais o islã, islã é as leis da Sharia, não segue as leis da Sharia não é islã.",1,1
comentario_2924445,Rapaz... Não sei se deixo like ou deslike...É sério que tem gente que paga ingresso pra ouvir isso?!... Lamentável!,0,0
comentario_2412332,Parabéns para essa mae ela e um exemplo,0,0
comentario_2264243,"Mesmo que o não procurar ela, está preste a chutar ela de casa. Já  o outros amante, depois de alguns anos, vai chutar também. Resumindo: ela vai ficar frustada em tudo.😂",0,1
comentario_429423,"   Você é cego não é mesmo. Lê direito. Eu disse a primeira coisa que eu analiso, PRIMEIRA. Eu não disse o resto. A minha lista têm mais de 20 itens.",0,1
comentario_2864745,"*Segundo o Hindiano (Duarte, a vida é um Xadrez), ele fez varias críticas (sensatas) justíssimas a Filosofia Red Pill 💊!!!*Mas a culpa da existência de um cara como o Alessandro Loiola, é dos paspalhos do Jr Master e do Miguel, que são incapazes de refutar este tipo de pessoas!!!Difícil não é! Eu consigo!!",0,1
comentario_1331384,"Não entendo o que ela fala , blá blá blá blá , a mente  dela funciona assim ?",0,1
comentario_904971,A Sementinha do mal agindo na cabeça de uma piriguete contumaz...,1,1
comentario_1385872,"Vc vai achar, só se vc conquistar um homem q nasceu da década de 90 pra trás, de lá pra cá,,,tá difícil,,😂😂😂😂",0,0
comentario_2292130,Meu Deus do céu q mundo é esse Jesus,0,0
