id_video_anonimizado,text,final_misoginia,final_toxicidade,toxicity,severe_toxicity,obscene,identity_attack,insult,threat,sexual_explicit,pred_label,threshold_aplicado
video_1001,Só casa com mulher linda por que será? #homem #homens #homemdevalor #homemmoderno #motivação,0,0,0.0067341746762394905,0.0004113136965315789,0.0014151225332170725,0.0024202032946050167,0.0027259066700935364,0.0006400750717148185,0.0009358993265777826,0,0.1
video_10050,"50 Fatos sobre Relacionamentos Modernos ** EXPLICADOS ** Em 1 Vídeo Qual Sua Atratividade Facial De 1-10? Obtenha Sua Analise 🔍😊👤💡📏https://abre.ai/iX8DAdiquira o Ebook ""Guia De Looksmaxxing De 10 Etapas""  👔✨📚📝👩‍🎨👨‍🎨📖https://abre.ai/iX8EAdiquira o Ebook "" Looksmaxxing De Maneira Errada"" GRATIS""   👔✨📚📝👩‍🎨https://abre.ai/iX8HMe Siga No Instagram  👣👉📸😊https://urlgeni.us/instagram/N0KqWMe Siga No TikTok  👣👉🎵😊https://urlgeni.us/tiktok/xcIwWMe Siga No Face 👣👉📘😊https://urlgeni.us/facebook/HEnL",0,0,0.0002754332381300628,0.00010225655569229275,0.0007197493687272072,0.00016680077533237636,0.0005910068866796792,0.00011151668149977922,6.976810254855081e-05,0,0.1
video_10060,Mais um personal pegando mulher casada 📕 - AntiOtário 🔱 - Código Masculino🚩 - Red Flags🔞 - Antiporn*🧘 - Lições Perpétuas🔐 - Entrada no Grupo PrivadoEsse é apenas o começo! 📚🗿👇🔗 | https://hotm.art/ComboManual,0,0,0.0007037674658931792,0.006748923100531101,0.026609530672430992,0.003911948297172785,0.01769096404314041,0.0023875341285020113,0.00580460112541914,0,0.1
video_10173,"COMO APRENDER A SER AMADA E VALORIZADA POR UM HOMEM RAPIDAMENTE ✅Quer DESTRAVAR a sua vida afetiva definitivamente?👇LINK: https://pay.kiwify.com.br/hEskh2i✅GUIA DA MULHER AUTOCONFIANTEhttps://karinefloriana.com.br/✅E-BOOK: GUIA PRÁTICO PARA AUMENTAR O AMOR-PRÓPRIO E MELHORAR A AUTOESTIMAhttps://pay.kiwify.com.br/SIiljFS💎Comunidade Mulher Autoconfiante-Receba dicas no Telegramhttps://t.me/+gvhTCF_GHEA2Y2Qx✅COMO APRENDER A SER AMADA E VALORIZADA POR UM HOMEM RAPIDAMENTENeste vídeo eu vou te explicar como aprender a ser amada e valorizada por um homem.Muitas mulheres buscam conquistar um homem, seduzir um homem, deixar o homem apaixonado e acabam fazendo tudo errado.Se você quer aprender a atrair um homem, a ser valorizada como mulher, a ser amada, a ser uma mulher de valor, então este vídeo é para você.Aqui você também vai entender sobre valor, ser valorizada, ser amada, ter valor, receber amor e valor e como ser valorizada.🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🔴Compartilhe esse vídeo : ➤COMO APRENDER A SER AMADA E VALORIZADA POR UM HOMEM RAPIDAMENTEhttps://youtu.be/DchFUqCx9TY🚨Videos que também podem te ajudar🚨➤Por que os homens esfriam ou se afastam de você? Aula 1https://youtu.be/_qNB7lmWWp0➤Por que os homens esfriam ou se afastam de você? Aula 2https://youtu.be/zzT6vXgU8V0➤COMO ME PREPARAR PARA AMAR E SER AMADAhttps://youtu.be/Vj_y7N2BCQk➤COMO SER FELIZ NO AMOR? PARTE 1https://youtu.be/KNv-l5899KU➤COMO FAZER O HOMEM SE APAIXONAR POR VOCÊ.  AULA 1/ A MENTE MASCULINA.https://youtu.be/8EnP_mLQeSc➤COMO FAZER O HOMEM SE APAIXONAR POR VOCÊ. AULA 2/ OS MAIORES ERROS QUE AS MULHERES COMETEMhttps://youtu.be/8EnP_mLQeSc➤COMO FAZER O HOMEM SE APAIXONAR POR VOCÊ .AULA 3 -DANÇA DA DUALIDADE FEMININAhttps://youtu.be/I7mwxZBNIdM➤COMO FAZER O HOMEM SE APAIXONAR POR VOCÊ. AULA -4 AÇÃOhttps://youtu.be/diEfQEneFMc===========================================================🔴 #relacionamentoamoroso #relacionamentoamoroso #amor #valor #conquistaramor #mulherbonita #comoconquistarumhomem #valorizada #amor #amar 🔻Me Encontre nas Redes Sociais🔻📸Instagram➤https://www.instagram.com/karinefloriana/📸Tiktok➤http://www.tiktok.com/ 🎬YouTube➤https://www.youtube.com/ 📸Linkedin➤www.linkedin.com/in/karinefloriana📸KWAI➤ https://kwai-video.com/u/ /n8XhvCfK",1,0,0.003743319772183895,0.0006026641931384802,0.0022039886098355055,0.0010451518464833498,0.0016706777969375253,0.000536811538040638,0.001428271527402103,0,0.1
video_10201,Homem quando a mulher é Rodada o que pode acontecer #homem #homens #motivacao,1,0,0.015757767483592033,0.0004957480705343187,0.001641725772060454,0.00614542979747057,0.004425231833010912,0.001002832897938788,0.0013841702602803707,0,0.1
video_10214,As gordinhas são especiais? | Thiago Schutz #shorts #reflexão #emagrecimento #amor #relacionamento,1,1,0.02088254876434803,0.0010098654311150312,0.028597338125109673,0.0022654253989458084,0.019279222935438156,0.00046515915892086923,0.0042557064443826675,0,0.1
video_10245,A abundância do chad #homem #homens #homemdevalor #homemmoderno #motivação #,0,0,0.005593541543930769,0.00022545245883520693,0.0009256406337954104,0.0011800392530858517,0.004469661507755518,0.00034629585570655763,0.0003118112508673221,0,0.1
video_10259,"DEPOIS DE SE SEPRAR, FAZ COISAS QUE ANTES NÃO FAZIA QUANDO ERA CASADO #relacionamento #namoro #casamentonapraia #casal #masculino #macho#seduçao #machoalfa #redpilled #masculinidade #homemdevalor#redpillbrasil #namorosafado #conquistarmulheres #reconquistar #casamento#conquistarmulher #conquistarumamor #fabricioacunha #fabricioacunhamentor #machomacho#amor #cortespodcast #mulher #homem",0,0,0.003833453869447112,0.00027119004516862333,0.0020636182744055986,0.0006028213538229465,0.0019026931840926409,0.0003611162246670574,0.0011992136714980006,0,0.1
video_10266,"Os Homens ACORDARAM! Agora São Eles Que Escolhem as Mulheres de Valor! ✅👉  Se você gostou do meu conteúdo e quer ajudar o Canal, faça a sua doação aqui: 👇👇👇 (Vai me ajudar muito 🙏)https://livepix.gg/fabricioacunha✅👉 VÍDEOS EXCLUSIVOS PARA MEMBROShttps://www.youtube.com/playlist?list=UUMOdVVI9mJUzGWShsD80poZMg✅👉 SEJA MEMBRO DO CANAL PARA LIVES E VÍDEOS EXCLUSIVOShttps://www.youtube.com/channel/UCdVVI9mJUzGWShsD80poZMg/join🚨 Os homens realmente mudaram ou as mulheres estão ficando desesperadas? 🚨Neste vídeo, analiso a nova realidade onde os homens estão cada vez mais espertos, identificando mulheres interesseiras e de baixo valor. Enquanto algumas mulheres reclamam que ""os homens estão frouxos e sem atitude"", a verdade é que eles simplesmente não querem mais perder tempo e energia com quem não tem nada a oferecer.📌 O que você vai ver neste vídeo:✔️ Por que os homens não abordam mais mulheres como antes✔️ O verdadeiro motivo pelo qual muitos preferem ficar solteiros✔️ Como os homens estão se valorizando e escolhendo melhor🔻 Comente aqui: Você acha que os homens estão certos em evitar certos tipos de relacionamento?⚠️ Se inscreva no canal e ative o sininho para mais vídeos sobre desenvolvimento masculino e mentalidade de sucesso!",1,1,0.004519996233284473,0.0004379702149890363,0.001387744559906423,0.0020739843603223562,0.002109709894284606,0.0005372661398723722,0.001023839577101171,0,0.1
video_10275,Nesse exato momento minha namorada está querendo desistir de um dos maiores sonhos da vida dela 📕 - AntiOtário 🔱 - Código Masculino🚩 - Red Flags🔞 - Antiporn*🧘 - Lições Perpétuas🔐 - Entrada no Grupo PrivadoEsse é apenas o começo! 📚🗿👇🔗 | https://hotm.art/ComboManual,0,0,0.004625968635082245,0.008501051925122738,0.04146807640790939,0.005055887624621391,0.02748039923608303,0.003953247331082821,0.0034222372341901064,0,0.1
video_10279,"Abra o seu negócio, você não precisa ser rico para começar a empreender 🗿 - Antiotario🔱 - Masculino🚩 - Red Flags🔞 - Antiporn*🧘 - Lições Perpétuas🔐 - Entrada no Grupo PrivadoEsse é apenas o começo! 📚🗿👇🔗 | https://hotm.art/ImperioCombo",0,0,0.00282411091029644,0.004352140240371227,0.030278071761131287,0.0027441030833870173,0.026673240587115288,0.0020582263823598623,0.002601320156827569,0,0.1
video_10335,"Raiam Santos Levou Fora De Uma TATUADA #hackeandoamatrix Hoje no moreno tatuado tem Raiam Santos tendo exposto por Xheli G, ela vazou prints de Raiam Santos xavecando ela, mas o curioso é que Xheli G tem muitas tatuagens, e Raiam Santos sempre declarou que não apreceia pessoas que usam tatuagens.         #hackeandoamatrix  #hackeandoamatrix #morenotatuado #homemdealtovalor⭐Seja membro para ter acesso a vídeos exclusívos por apenas $2,99 🤏     https://www.youtube.com/channel/UCDrGZXd8k06ifz0-gccIn0w/join-----------------------------------------------------------------------------------------------------------Esse é um canal de opinião, onde analiso dinâmicas sociais entre homens e mulheres do ponto de vista de um homem.Meu compromisso é dar minha contribuição sincera e respeitosa sobre assuntos da atualidade que interessam ao homem de alto valor.Quando o homem começa a seguir o próprio caminho aprende que precisa se manter bem informado.💊DEIXE O LIKE!                       💊SE INSCREVA!             👉Compartilhe esse vídeo com alguém que vc gosta:Se Isso For Verdade Raiam Santos é o MAIOR GADO de Todos os Temposhttps://youtu.be/f47FcnC0cqM",1,1,0.0013625939609482884,0.00019518163753673434,0.0008756708703003824,0.0004173412162344903,0.0008241675095632672,0.00020907557336613536,0.000500583671964705,0,0.1
