id_video_anonimizado,text,final_misoginia,final_toxicidade,texto_analise,score_perspective_max,latencia_api,detalhe_toxicity,detalhe_severe,detalhe_identity,detalhe_insult,tipo_origem,unified_label,original_label_column,threshold_aplicado,pred_label
video_10084,As pessoas podem mudar? | Thiago Schutz #shorts #reflexão #relacionamento #amor #mulher #fyp,0,0,As pessoas podem mudar? | Thiago Schutz #shorts #reflexão #relacionamento #amor #mulher #fyp,0.00648687,0.0665557384490966,0.0047436883,0.0004506111,0.0013041744,0.00648687,videos_toxicidade,0,final_toxicidade,0.2,0
video_10114,AS LEIS DEFENDEM AS MULHERES #relacionamento #namoro #casamentonapraia #casal #masculino #macho #relacionamento #namoro #casamentonapraia #casal #masculino #macho#seduçao #machoalfa #redpilled #masculinidade #homemdevalor#redpillbrasil #namorosafado #conquistarmulheres #reconquistar #casamento#conquistarmulher #conquistarumamor #fabricioacunha #fabricioacunhamentor #machomacho#amor #cortespodcast #mulher #homem,1,1,AS LEIS DEFENDEM AS MULHERES #relacionamento #namoro #casamentonapraia #casal #masculino #macho #relacionamento #namoro #casamentonapraia #casal #masculino #macho#seduçao #machoalfa #redpilled #masculinidade #homemdevalor#redpillbrasil #namorosafado #conquistarmulheres #reconquistar #casamento#conquistarmulher #conquistarumamor #fabricioacunha #fabricioacunhamentor #machomacho#amor #cortespodcast #mulher #homem,0.0063918694,0.089573860168457,0.0035027897,0.0006008148,0.0013226734,0.0063918694,videos_toxicidade,1,final_toxicidade,0.2,0
video_10147,"A verdade por trás dos posts sensuais! | Qual a sua opinião? #rafaelaires #antiotario #redpillbrasil🔥 Pare de ser feito de Otário! 🔥📕 Manual AntiOtário✅ Evitar manipulações e jogos emocionais✅ Se posicionar com inteligência nos relacionamentos✅ Torne-se a melhor versão de si mesmo📚 Adquira o seu agora! ⤵➡️| hotm.art/geracaoantiotario🚀 O livro que te ensina a se impor, evitar ciladas e nunca mais ser feito de trouxa.",0,1,"A verdade por trás dos posts sensuais! | Qual a sua opinião? #rafaelaires #antiotario #redpillbrasil🔥 Pare de ser feito de Otário! 🔥📕 Manual AntiOtário✅ Evitar manipulações e jogos emocionais✅ Se posicionar com inteligência nos relacionamentos✅ Torne-se a melhor versão de si mesmo📚 Adquira o seu agora! ⤵➡️| hotm.art/geracaoantiotario🚀 O livro que te ensina a se impor, evitar ciladas e nunca mais ser feito de trouxa.",0.20195828,0.0532801151275634,0.20195828,0.015092585,0.012441003,0.13607834,videos_toxicidade,1,final_toxicidade,0.2,1
video_10157,Mulheres Israelitas 🎯😍,1,0,Mulheres Israelitas 🎯😍,0.049831573,0.0992882251739502,0.049831573,0.0044441223,0.038167715,0.017356457,videos_toxicidade,0,final_toxicidade,0.2,0
video_10172,"OS HOMENS NÃO QUEREM MAIS FICAR FAZENDO A VONTADE DAS MULHERES E ELAS ESTÃO DESESPERADAS#humor#memes Olá! seja bem vindo a mais um video do canal, hoje vamos falar, sobre o porquê que o homem deve malhar e treinar. não se esqueça de se inscrever no canal e deixar o like  além disso ative o sininho de notificações para não perder nenhum video. vamos começar;",1,1,"OS HOMENS NÃO QUEREM MAIS FICAR FAZENDO A VONTADE DAS MULHERES E ELAS ESTÃO DESESPERADAS#humor#memes Olá! seja bem vindo a mais um video do canal, hoje vamos falar, sobre o porquê que o homem deve malhar e treinar. não se esqueça de se inscrever no canal e deixar o like  além disso ative o sininho de notificações para não perder nenhum video. vamos começar;",0.2855005,0.0833642482757568,0.2855005,0.01896597,0.22935481,0.071750276,videos_toxicidade,1,final_toxicidade,0.2,1
video_10201,Homem quando a mulher é Rodada o que pode acontecer #homem #homens #motivacao,1,0,Homem quando a mulher é Rodada o que pode acontecer #homem #homens #motivacao,0.042657252,0.091611623764038,0.042657252,0.0026130676,0.016460562,0.020708188,videos_toxicidade,0,final_toxicidade,0.2,0
video_10241,Traição não começa em um quarto de motel porque nada começa grande 📕 - AntiOtário 🔱 - Código Masculino🚩 - Red Flags🔞 - Antiporn*🧘 - Lições Perpétuas🔐 - Entrada no Grupo PrivadoEsse é apenas o começo! 📚🗿👇🔗 | https://hotm.art/ComboManual,0,0,Traição não começa em um quarto de motel porque nada começa grande 📕 - AntiOtário 🔱 - Código Masculino🚩 - Red Flags🔞 - Antiporn*🧘 - Lições Perpétuas🔐 - Entrada no Grupo PrivadoEsse é apenas o começo! 📚🗿👇🔗 | https://hotm.art/ComboManual,0.17805049,0.0811676979064941,0.17805049,0.015350811,0.014752249,0.032909457,videos_toxicidade,0,final_toxicidade,0.2,0
video_10254,"A diferença entre o louco e o gênio é o resultado 1- Adquira o Antiotário 📕2- Domine as lições do nosso livro 3- Faça parte do nosso grupo privado.➡️ https://manualantiotario.com/AntiOtário, livro de desenvolvimento pessoal mais vendido do país. 🫡",0,0,"A diferença entre o louco e o gênio é o resultado 1- Adquira o Antiotário 📕2- Domine as lições do nosso livro 3- Faça parte do nosso grupo privado.➡️ https://manualantiotario.com/AntiOtário, livro de desenvolvimento pessoal mais vendido do país. 🫡",0.037577134,0.0774590969085693,0.037577134,0.0012207031,0.0032558115,0.024511116,videos_toxicidade,0,final_toxicidade,0.2,0
video_10266,"Os Homens ACORDARAM! Agora São Eles Que Escolhem as Mulheres de Valor! ✅👉  Se você gostou do meu conteúdo e quer ajudar o Canal, faça a sua doação aqui: 👇👇👇 (Vai me ajudar muito 🙏)https://livepix.gg/fabricioacunha✅👉 VÍDEOS EXCLUSIVOS PARA MEMBROShttps://www.youtube.com/playlist?list=UUMOdVVI9mJUzGWShsD80poZMg✅👉 SEJA MEMBRO DO CANAL PARA LIVES E VÍDEOS EXCLUSIVOShttps://www.youtube.com/channel/UCdVVI9mJUzGWShsD80poZMg/join🚨 Os homens realmente mudaram ou as mulheres estão ficando desesperadas? 🚨Neste vídeo, analiso a nova realidade onde os homens estão cada vez mais espertos, identificando mulheres interesseiras e de baixo valor. Enquanto algumas mulheres reclamam que ""os homens estão frouxos e sem atitude"", a verdade é que eles simplesmente não querem mais perder tempo e energia com quem não tem nada a oferecer.📌 O que você vai ver neste vídeo:✔️ Por que os homens não abordam mais mulheres como antes✔️ O verdadeiro motivo pelo qual muitos preferem ficar solteiros✔️ Como os homens estão se valorizando e escolhendo melhor🔻 Comente aqui: Você acha que os homens estão certos em evitar certos tipos de relacionamento?⚠️ Se inscreva no canal e ative o sininho para mais vídeos sobre desenvolvimento masculino e mentalidade de sucesso!",1,1,"Os Homens ACORDARAM! Agora São Eles Que Escolhem as Mulheres de Valor! ✅👉  Se você gostou do meu conteúdo e quer ajudar o Canal, faça a sua doação aqui: 👇👇👇 (Vai me ajudar muito 🙏)https://livepix.gg/fabricioacunha✅👉 VÍDEOS EXCLUSIVOS PARA MEMBROShttps://www.youtube.com/playlist?list=UUMOdVVI9mJUzGWShsD80poZMg✅👉 SEJA MEMBRO DO CANAL PARA LIVES E VÍDEOS EXCLUSIVOShttps://www.youtube.com/channel/UCdVVI9mJUzGWShsD80poZMg/join🚨 Os homens realmente mudaram ou as mulheres estão ficando desesperadas? 🚨Neste vídeo, analiso a nova realidade onde os homens estão cada vez mais espertos, identificando mulheres interesseiras e de baixo valor. Enquanto algumas mulheres reclamam que ""os homens estão frouxos e sem atitude"", a verdade é que eles simplesmente não querem mais perder tempo e energia com quem não tem nada a oferecer.📌 O que você vai ver neste vídeo:✔️ Por que os homens não abordam mais mulheres como antes✔️ O verdadeiro motivo pelo qual muitos preferem ficar solteiros✔️ Como os homens estão se valorizando e escolhendo melhor🔻 Comente aqui: Você acha que os homens estão certos em evitar certos tipos de relacionamento?⚠️ Se inscreva no canal e ative o sininho para mais vídeos sobre desenvolvimento masculino e mentalidade de sucesso!",0.11098998,0.0961649417877197,0.11098998,0.010986328,0.06158508,0.032799274,videos_toxicidade,1,final_toxicidade,0.2,0
video_10321,Vale a pena casamento hoje em dia? | Thiago Schutz #shorts #relacionamento #casamento #reflexão #fyp,0,0,Vale a pena casamento hoje em dia? | Thiago Schutz #shorts #relacionamento #casamento #reflexão #fyp,0.00648687,0.0726087093353271,0.005340576,0.0004339218,0.0012024303,0.00648687,videos_toxicidade,0,final_toxicidade,0.2,0
video_10353,O juízo final está próximo. Arrependa-se! #sigma #evolução #homem #homemdevalor #masculinidade #valores #motivação #react #respeito #humildade #principios #evoluir #shorts,0,0,O juízo final está próximo. Arrependa-se! #sigma #evolução #homem #homemdevalor #masculinidade #valores #motivação #react #respeito #humildade #principios #evoluir #shorts,0.031684756,0.0868146419525146,0.031684756,0.0019836426,0.0061416444,0.01640493,videos_toxicidade,0,final_toxicidade,0.2,0
video_104,"Homem de valor não respeita vulgaridade disfarçada de liberdade! | Qual a sua opinião? #rafaelaires #antiotario #redpillbrasil🔥 Pare de ser feito de Otário! 🔥📕 Manual AntiOtário✅ Evitar manipulações e jogos emocionais✅ Se posicionar com inteligência nos relacionamentos✅ Torne-se a melhor versão de si mesmo📚 Adquira o seu agora! ⤵➡️| hotm.art/geracaoantiotario🚀 O livro que te ensina a se impor, evitar ciladas e nunca mais ser feito de trouxa.",1,1,"Homem de valor não respeita vulgaridade disfarçada de liberdade! | Qual a sua opinião? #rafaelaires #antiotario #redpillbrasil🔥 Pare de ser feito de Otário! 🔥📕 Manual AntiOtário✅ Evitar manipulações e jogos emocionais✅ Se posicionar com inteligência nos relacionamentos✅ Torne-se a melhor versão de si mesmo📚 Adquira o seu agora! ⤵➡️| hotm.art/geracaoantiotario🚀 O livro que te ensina a se impor, evitar ciladas e nunca mais ser feito de trouxa.",0.22311419,0.088559865951538,0.22311419,0.017868511,0.02048012,0.16890354,videos_toxicidade,1,final_toxicidade,0.2,1
video_1044,É ASSIM QUE A MATRIX SUGA TUA ALMA....  [vídeo proibído] ► CAPITAL DIGITAL | A MAIOR OPORTUNIDADE DO SÉCULO► Alphalife+: https://alphalifeplus.com/?utm_source=youtube► Lover Academy: https://loveracademy.com.br/?utm_source=youtube► Close Friends: https://copinioficial.com/?utm_source=youtube► Instagram: https://www.instagram.com/copini_alphalife/► Contato Suporte para alunos: alphalifesuporte .comEmail comercial: alphalifecopini .com,0,1,É ASSIM QUE A MATRIX SUGA TUA ALMA....  [vídeo proibído] ► CAPITAL DIGITAL | A MAIOR OPORTUNIDADE DO SÉCULO► Alphalife+: https://alphalifeplus.com/?utm_source=youtube► Lover Academy: https://loveracademy.com.br/?utm_source=youtube► Close Friends: https://copinioficial.com/?utm_source=youtube► Instagram: https://www.instagram.com/copini_alphalife/► Contato Suporte para alunos: alphalifesuporte .comEmail comercial: alphalifecopini .com,0.29405528,0.062103271484375,0.29405528,0.023076924,0.020279141,0.081261896,videos_toxicidade,1,final_toxicidade,0.2,1
video_10464,Como curar a dependência emocional?,0,0,Como curar a dependência emocional?,0.0057696155,0.0786583423614502,0.003377129,0.00024318695,0.00090182276,0.0057696155,videos_toxicidade,0,final_toxicidade,0.2,0
video_10527,"Não fique triste caso a sua mulher tenha te deixado 1- Adquira o Antiotário 📕2- Domine as lições do nosso livro 3- Faça parte do nosso grupo privado.➡️ https://manualantiotario.com/AntiOtário, livro de desenvolvimento pessoal mais vendido do país. 🫡",0,0,"Não fique triste caso a sua mulher tenha te deixado 1- Adquira o Antiotário 📕2- Domine as lições do nosso livro 3- Faça parte do nosso grupo privado.➡️ https://manualantiotario.com/AntiOtário, livro de desenvolvimento pessoal mais vendido do país. 🫡",0.029799197,0.0880696773529052,0.029799197,0.001707077,0.0073255757,0.014504919,videos_toxicidade,0,final_toxicidade,0.2,0
video_10584,Não seja esse tipo de homem  #antiotario #rafaelaires #redpill #relacionamento,0,0,Não seja esse tipo de homem  #antiotario #rafaelaires #redpill #relacionamento,0.24171697,0.0984904766082763,0.2412222,0.006828308,0.037394293,0.24171697,videos_toxicidade,0,final_toxicidade,0.2,1
video_10714,Coisas que me fariam levantar da mesa numa conversa com outras mulheres 🗿 - Antiotario🔱 - Masculino🚩 - Red Flags🔞 - Antiporn*🧘 - Lições Perpétuas🔐 - Entrada no Grupo PrivadoEsse é apenas o começo! 📚🗿👇🔗 | https://hotm.art/ImperioCombo,0,0,Coisas que me fariam levantar da mesa numa conversa com outras mulheres 🗿 - Antiotario🔱 - Masculino🚩 - Red Flags🔞 - Antiporn*🧘 - Lições Perpétuas🔐 - Entrada no Grupo PrivadoEsse é apenas o começo! 📚🗿👇🔗 | https://hotm.art/ImperioCombo,0.21107252,0.0756676197052002,0.21107252,0.01986976,0.032753747,0.028942931,videos_toxicidade,0,final_toxicidade,0.2,1
video_10725,Você conhece esse tipo de pessoa? | Thiago Schutz #shorts #podcast #relacionamento #thiagoschutz,0,0,Você conhece esse tipo de pessoa? | Thiago Schutz #shorts #podcast #relacionamento #thiagoschutz,0.009298885,0.0749027729034423,0.009298885,0.0007867813,0.00310782,0.00819688,videos_toxicidade,0,final_toxicidade,0.2,0
video_10861,"Relacionamento Forçado  ** EXPLICADO ** Em 1 Vídeo Qual Sua Atratividade Facial De 1-10? Obtenha Sua Analise 🔍😊👤💡📏https://abre.ai/iX8DAdiquira o Ebook ""Guia De Looksmaxxing De 10 Etapas""  👔✨📚📝👩‍🎨👨‍🎨📖https://abre.ai/iX8EAdiquira o Ebook "" Looksmaxxing De Maneira Errada"" GRATIS""   👔✨📚📝👩‍🎨https://abre.ai/iX8HMe Siga No Instagram  👣👉📸😊https://urlgeni.us/instagram/N0KqWMe Siga No TikTok  👣👉🎵😊https://urlgeni.us/tiktok/xcIwWMe Siga No Face 👣👉📘😊https://urlgeni.us/facebook/HEnL",0,0,"Relacionamento Forçado  ** EXPLICADO ** Em 1 Vídeo Qual Sua Atratividade Facial De 1-10? Obtenha Sua Analise 🔍😊👤💡📏https://abre.ai/iX8DAdiquira o Ebook ""Guia De Looksmaxxing De 10 Etapas""  👔✨📚📝👩‍🎨👨‍🎨📖https://abre.ai/iX8EAdiquira o Ebook "" Looksmaxxing De Maneira Errada"" GRATIS""   👔✨📚📝👩‍🎨https://abre.ai/iX8HMe Siga No Instagram  👣👉📸😊https://urlgeni.us/instagram/N0KqWMe Siga No TikTok  👣👉🎵😊https://urlgeni.us/tiktok/xcIwWMe Siga No Face 👣👉📘😊https://urlgeni.us/facebook/HEnL",0.07212844,0.0490927696228027,0.07212844,0.008888245,0.007843546,0.01632893,videos_toxicidade,0,final_toxicidade,0.2,0
video_10957,Não tenham medo de filho 🗿 - Antiotario🔱 - Masculino🚩 - Red Flags🔞 - Antiporn*🧘 - Lições Perpétuas🔐 - Entrada no Grupo PrivadoEsse é apenas o começo! 📚🗿👇🔗 | https://hotm.art/ImperioCombo,0,0,Não tenham medo de filho 🗿 - Antiotario🔱 - Masculino🚩 - Red Flags🔞 - Antiporn*🧘 - Lições Perpétuas🔐 - Entrada no Grupo PrivadoEsse é apenas o começo! 📚🗿👇🔗 | https://hotm.art/ImperioCombo,0.20705862,0.1035242080688476,0.20705862,0.019482423,0.022992345,0.033460364,videos_toxicidade,0,final_toxicidade,0.2,1
video_10968,“São pessoas que se não são fracassadas estão a caminho do fracasso” 🍷🗿 Antiotario🔱 - Código Masculino🚩 - Red Flags🔞 - Antiporn*🧘 - Lições Perpétuas🔐 - Entrada no Grupo PrivadoEsse é apenas o começo! 📚🗿👇🔗 | https://hotm.art/ComboManual,0,0,“São pessoas que se não são fracassadas estão a caminho do fracasso” 🍷🗿 Antiotario🔱 - Código Masculino🚩 - Red Flags🔞 - Antiporn*🧘 - Lições Perpétuas🔐 - Entrada no Grupo PrivadoEsse é apenas o começo! 📚🗿👇🔗 | https://hotm.art/ComboManual,0.15822013,0.0911550521850586,0.15822013,0.011444092,0.022188433,0.043250903,videos_toxicidade,0,final_toxicidade,0.2,0
video_10976,homem quer casar mesmo? #homem #homens #homemdevalor #homemmoderno #motivação,0,0,homem quer casar mesmo? #homem #homens #homemdevalor #homemmoderno #motivação,0.033334624,0.071312665939331,0.033334624,0.002231598,0.014752249,0.014580919,videos_toxicidade,0,final_toxicidade,0.2,0
video_10992,Dá para namorar esse tipo de mulher? | Thiago Schutz #shorts #relacionamento #reflexão #redflags,1,1,Dá para namorar esse tipo de mulher? | Thiago Schutz #shorts #relacionamento #reflexão #redflags,0.016838523,0.0941617488861084,0.016838523,0.0016593933,0.0052166977,0.012452906,videos_toxicidade,1,final_toxicidade,0.2,0
video_11053,"Fácil Demais #shorts #hackeandoamatrix #morenotatuado #homemdealtovalor     -----------------------------------------------------------------------------------------------------------Esse é um canal de opinião, onde analiso dinâmicas sociais entre homens e mulheres do ponto de vista de um homem.Meu compromisso é dar minha contribuição sincera e respeitosa sobre assuntos da atualidade que interessam ao homem de alto valor.Quando o homem começa a seguir o próprio caminho aprende que precisa se manter bem informado.💊DEIXE O LIKE!                       💊SE INSCREVA!             👉Compartilhe esse vídeo com alguém que vc gosta:https://youtu.be/VnfYP-HClu4",0,0,"Fácil Demais #shorts #hackeandoamatrix #morenotatuado #homemdealtovalor     -----------------------------------------------------------------------------------------------------------Esse é um canal de opinião, onde analiso dinâmicas sociais entre homens e mulheres do ponto de vista de um homem.Meu compromisso é dar minha contribuição sincera e respeitosa sobre assuntos da atualidade que interessam ao homem de alto valor.Quando o homem começa a seguir o próprio caminho aprende que precisa se manter bem informado.💊DEIXE O LIKE!                       💊SE INSCREVA!             👉Compartilhe esse vídeo com alguém que vc gosta:https://youtu.be/VnfYP-HClu4",0.09915545,0.1045925617218017,0.09915545,0.0090789795,0.04177703,0.031146556,videos_toxicidade,0,final_toxicidade,0.2,0
