id_comentario_anonimizado,comentario,final_misoginia,final_toxicidade,texto_analise,score_perspective_max,latencia_api,detalhe_toxicity,detalhe_severe,detalhe_identity,detalhe_insult,tipo_origem,unified_label,original_label_column,threshold_aplicado,pred_label
comentario_1842406,"@  tá vendo que relato padrinho, que essas pilantras são capazes de aprontar, quem não ouvir seus conselhos vai pra sarjeta, enquanto a pilantras vai tá sentando em várias mandiocas",1,1,"@  tá vendo que relato padrinho, que essas pilantras são capazes de aprontar, quem não ouvir seus conselhos vai pra sarjeta, enquanto a pilantras vai tá sentando em várias mandiocas",0.28857216,0.0822618007659912,0.28857216,0.009994507,0.0233943,0.24928534,comentarios_misoginia,1,final_misoginia,0.2,1
comentario_655774,Venha logo asteroide e acaba com essa humanidade doentia e nojenta. Tudo por grana e fama!,0,1,Venha logo asteroide e acaba com essa humanidade doentia e nojenta. Tudo por grana e fama!,0.52139956,0.0947892665863037,0.52139956,0.35368225,0.18235919,0.5130944,comentarios_misoginia,0,final_misoginia,0.2,1
comentario_2750089,"UM mentiroso isso sim porque o ferimento no braço da Ana, todo mundo que assistiu o Programa apresentado pela Ana na Record viu muito bem o braço dela FERIDOA",0,1,"UM mentiroso isso sim porque o ferimento no braço da Ana, todo mundo que assistiu o Programa apresentado pela Ana na Record viu muito bem o braço dela FERIDOA",0.46476576,0.080859899520874,0.37751234,0.01322045,0.010581387,0.46476576,comentarios_misoginia,0,final_misoginia,0.2,1
comentario_570789,"sempre é assim quando é pego começa chorar kkkkkk, e ainda culpa os homens é brincadeira absurdo",1,1,"sempre é assim quando é pego começa chorar kkkkkk, e ainda culpa os homens é brincadeira absurdo",0.38434127,0.1030218601226806,0.38434127,0.016771052,0.10293542,0.24928534,comentarios_misoginia,1,final_misoginia,0.2,1
comentario_2338218,"Meu pai um dia me disse nunca coloque um anel de brilhante em uma mão lisa, e cuidado com o sorriso das feras.",0,0,"Meu pai um dia me disse nunca coloque um anel de brilhante em uma mão lisa, e cuidado com o sorriso das feras.",0.0058931164,0.080698013305664,0.0025917501,0.00017166138,0.00036997857,0.0058931164,comentarios_misoginia,0,final_misoginia,0.2,0
comentario_977852,"Vce tem uma certa razão,mas o ppr que disso? Homem ganha melhor que a mulher,e  as outras solteiras dão em cima mesmo...",1,1,"Vce tem uma certa razão,mas o ppr que disso? Homem ganha melhor que a mulher,e  as outras solteiras dão em cima mesmo...",0.22707681,0.0644941329956054,0.20149297,0.007286072,0.22707681,0.08582769,comentarios_misoginia,1,final_misoginia,0.2,1
comentario_430194,Concordo com você...Conselhos bons para a realidade da maioria do povo.,0,0,Concordo com você...Conselhos bons para a realidade da maioria do povo.,0.006667371,0.1083767414093017,0.005089255,0.00027894974,0.00071683346,0.006667371,comentarios_misoginia,0,final_misoginia,0.2,0
comentario_1884143,"Surreal bróder, mas essas pessoas que ganham muito dinheiro de maneira repentina acabam não tendo estrutura psicológica e emocional pra fazer bom uso do patrimônio.",0,0,"Surreal bróder, mas essas pessoas que ganham muito dinheiro de maneira repentina acabam não tendo estrutura psicológica e emocional pra fazer bom uso do patrimônio.",0.09112182,0.076263427734375,0.09112182,0.0015354156,0.009619443,0.05964688,comentarios_misoginia,0,final_misoginia,0.2,0
comentario_2709199,"Enquanto isso, o Vilela do inteligência limitada quer chamar o bonzinho do Edu Guedes. AFF.",0,1,"Enquanto isso, o Vilela do inteligência limitada quer chamar o bonzinho do Edu Guedes. AFF.",0.47357693,0.0868055820465087,0.39231625,0.02116089,0.04177703,0.47357693,comentarios_misoginia,0,final_misoginia,0.2,1
comentario_1351157,"Cheguei conhecer casais idosos quando era criança, segundo os relatos deles a sociedade formada por homens e mulheres eram outro nível, como a socidade está destruída! Lamentável!!!",0,0,"Cheguei conhecer casais idosos quando era criança, segundo os relatos deles a sociedade formada por homens e mulheres eram outro nível, como a socidade está destruída! Lamentável!!!",0.123468354,0.1075377464294433,0.123468354,0.004310608,0.04538634,0.07333439,comentarios_misoginia,0,final_misoginia,0.2,0
comentario_2314280,A decepção do Padrinho no início do vídeo é a mesma que a minha... KKKKKKKKKKKKKKKKKKKKKKK,0,0,A decepção do Padrinho no início do vídeo é a mesma que a minha... KKKKKKKKKKKKKKKKKKKKKKK,0.085582085,0.1068003177642822,0.085582085,0.0017642975,0.004162259,0.03158728,comentarios_misoginia,0,final_misoginia,0.2,0
comentario_652229,Engole o choro. Assuma as consequências.,0,1,Engole o choro. Assuma as consequências.,0.10089093,0.0420928001403808,0.10089093,0.0016784668,0.0015169121,0.036809623,comentarios_misoginia,0,final_misoginia,0.2,0
comentario_62821,"Hoje com 25 anos após anos e anos sem ver um video sobre esses temas hoje, me fez parar e prestar mais atenção sobre um video assim..",0,0,"Hoje com 25 anos após anos e anos sem ver um video sobre esses temas hoje, me fez parar e prestar mais atenção sobre um video assim..",0.016021729,0.076883316040039,0.016021729,0.0009870529,0.003366805,0.009032886,comentarios_misoginia,0,final_misoginia,0.2,0
comentario_34484,"cara, a mulherada de 17-18 aqui na escola tá tudo virada na pomba gira!😂 Elas tão distribuindo..vc nem chega elas que chegam...precisa correr atrás de Tia Neide não",1,1,"cara, a mulherada de 17-18 aqui na escola tá tudo virada na pomba gira!😂 Elas tão distribuindo..vc nem chega elas que chegam...precisa correr atrás de Tia Neide não",0.2540519,0.0844802856445312,0.2540519,0.014769804,0.18546575,0.16773392,comentarios_misoginia,1,final_misoginia,0.2,1
comentario_1104045,"Nada, cuida da tua vida pivete",0,1,"Nada, cuida da tua vida pivete",0.41767508,0.0860247611999511,0.36867723,0.01935331,0.018068384,0.41767508,comentarios_misoginia,0,final_misoginia,0.2,1
comentario_153927,A igreja evangélica é a maior falcatrua á face da terra 😂,0,1,A igreja evangélica é a maior falcatrua á face da terra 😂,0.57150364,0.0655660629272461,0.56269526,0.20373066,0.57150364,0.5130944,comentarios_misoginia,0,final_misoginia,0.2,1
comentario_820468,"homens entendam, pra um homem com condicionamento fisico o trabakho domestico parece mais leve etc mas pra mulher nao é cara, raciocina cara, se tem filhos a coisa piora, elas n tem tanto testo ou condicionamento q tu tem.e jamais desmereça ou faça pouco do papel da mulher. ja vi cara falar como se fosse facil ou mais facil etc mas n é, n existe só cansaço fisico, tb cansaço mental meu fi e o mental tb é ruim igual, os filhos por ex podem dar um cansaço mental q...ajude e como recompensa ela estara de melhor humor",0,0,"homens entendam, pra um homem com condicionamento fisico o trabakho domestico parece mais leve etc mas pra mulher nao é cara, raciocina cara, se tem filhos a coisa piora, elas n tem tanto testo ou condicionamento q tu tem.e jamais desmereça ou faça pouco do papel da mulher. ja vi cara falar como se fosse facil ou mais facil etc mas n é, n existe só cansaço fisico, tb cansaço mental meu fi e o mental tb é ruim igual, os filhos por ex podem dar um cansaço mental q...ajude e como recompensa ela estara de melhor humor",0.18174082,0.0950138568878173,0.18174082,0.015609037,0.10221587,0.08508729,comentarios_misoginia,0,final_misoginia,0.2,0
comentario_1339354,Fica dando a entender que ela só vai entrar com a piriquita no relacionamento. Assim é bom D +. 😂😂,1,1,Fica dando a entender que ela só vai entrar com a piriquita no relacionamento. Assim é bom D +. 😂😂,0.14950264,0.0811400413513183,0.14950264,0.005493164,0.0076585566,0.046178754,comentarios_misoginia,1,final_misoginia,0.2,0
comentario_2576406,Também passei por uma situação assim 😢,0,0,Também passei por uma situação assim 😢,0.005389613,0.0856282711029052,0.0026231653,0.0002515316,0.000561905,0.005389613,comentarios_misoginia,0,final_misoginia,0.2,0
comentario_2074455,"Irmão, eu não entendo porque as pessoas acham chocante pessoas do mundo do entretenimento que estão num relacionamento, traírem. Esperam o que?? As pessoas desse meio tem acesso a tudo e todos. Quando se tem poder, se usa. Pode ser músico, digital influencer, youtuber, artista, atleta, já é de se esperar. Segundo ponto: no mundo não existe justiça e nem lógica, e pra você que acredita em Deus, Deus também não tem sentido nenhum. Ele faz um cara de 1,90, branco, olho azul, cabelo dourado liso, forte e ao mesmo tempo um cara deficiente feio e fala que os dois são iguais. Acostume-se que o mundo tem sua base como a lei da selva. Se todos os nossos suprimentos e recursos acabarem, nos tornaremos assassinos, estupradores, ladrões em questao de dias. E não se importem com a moral, ela nunca existiu. É apenas o próprio ser humano",0,1,"Irmão, eu não entendo porque as pessoas acham chocante pessoas do mundo do entretenimento que estão num relacionamento, traírem. Esperam o que?? As pessoas desse meio tem acesso a tudo e todos. Quando se tem poder, se usa. Pode ser músico, digital influencer, youtuber, artista, atleta, já é de se esperar. Segundo ponto: no mundo não existe justiça e nem lógica, e pra você que acredita em Deus, Deus também não tem sentido nenhum. Ele faz um cara de 1,90, branco, olho azul, cabelo dourado liso, forte e ao mesmo tempo um cara deficiente feio e fala que os dois são iguais. Acostume-se que o mundo tem sua base como a lei da selva. Se todos os nossos suprimentos e recursos acabarem, nos tornaremos assassinos, estupradores, ladrões em questao de dias. E não se importem com a moral, ela nunca existiu. É apenas o próprio ser humano",0.28674445,0.0744497776031494,0.28674445,0.018707745,0.23846684,0.16817254,comentarios_misoginia,0,final_misoginia,0.2,1
comentario_1710277,"Homens não estão mais chegando nas mulheres por dois motivos:  1- acusações falsas de assédio 2 - O sexo está muito fácil, portanto não vale a pena se arriscar a ser preso por falsa acusação de assédio ou ser ridicularizado por alguma madame com o ego inflado.",1,1,"Homens não estão mais chegando nas mulheres por dois motivos:  1- acusações falsas de assédio 2 - O sexo está muito fácil, portanto não vale a pena se arriscar a ser preso por falsa acusação de assédio ou ser ridicularizado por alguma madame com o ego inflado.",0.15103401,0.0777564048767089,0.15103401,0.013414118,0.08087392,0.07808672,comentarios_misoginia,1,final_misoginia,0.2,0
comentario_765909,O contrário tá aq na minha cueca,0,1,O contrário tá aq na minha cueca,0.2028889,0.0812604427337646,0.2028889,0.008926392,0.004402745,0.032028005,comentarios_misoginia,0,final_misoginia,0.2,1
comentario_732794,KKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKK A FUTURA DONZELA DOS SENHORES 😂😂😂😂😂😂,1,0,KKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKK A FUTURA DONZELA DOS SENHORES 😂😂😂😂😂😂,0.18649188,0.0894184112548828,0.18649188,0.015415368,0.011691323,0.061801232,comentarios_misoginia,1,final_misoginia,0.2,0
comentario_1150453,"Esse tal(Cariani) é o da ""cocaína""?",0,0,"Esse tal(Cariani) é o da ""cocaína""?",0.3388922,0.0817561149597168,0.3047732,0.016706496,0.07012023,0.3388922,comentarios_misoginia,0,final_misoginia,0.2,1
