id_video_anonimizado,text,final_misoginia,final_toxicidade
video_1001,Só casa com mulher linda por que será? devalor moderno #motivação,0,0
video_10136,Qual a diferença entre amar e gostar da utilidade da outra pessoa? 🔐 - Entrada no Esse é apenas o começo! 🗿👇🔗 |,0,0
video_10139,"Mulher Fica Mais Feliz Com Homem Mais Velho? A Verdade Você já se perguntou por que muitas mulheres preferem homens mais velhos? Neste vídeo, vamos explorar os motivos que fazem muitas mulheres se sentirem mais felizes ao lado de parceiros mais experientes. Será a maturidade e estabilidade a chave para o sucesso no relacionamento? Venha descobrir! Feliz MaisVelhos #Psicologia #Maturidade",1,1
video_10155,Tem momentos na vida que a gente acha que está dando tudo errado mas é só o começo para algo maior 🔐 - Entrada no Esse é apenas o começo! 🗿👇🔗 |,0,0
video_10160,"VOCÊ ESTÁ SE ESPELHANDO COM O OUTRO dealtovalor #podcast #comportamentomasculino método definitivo para transformar sua vida amorosa."" Acesse o link abaixo: - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - Instagram: Tik Tok: - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - dealtovalor",0,0
video_10179,"Em menos de 1 ano de separado consegui uma moto e mn casa, e a ex tá no fnd do poço e grávida 🔐 - Entrada no Esse é apenas o começo! 🗿👇🔗 |",0,1
video_10256,1 ano que minha mãe se foi 🔐 - Entrada no Esse é apenas o começo! 🗿👇🔗 |,0,0
video_10259,"DEPOIS DE SE SEPRAR, FAZ COISAS QUE ANTES NÃO FAZIA QUANDO ERA CASADO napraia ed devalorbrasil safado mentor macho",0,0
video_10277,O homem deve bancar as mulheres #sedução #fofoca #conquista #sedutor #conquistar devalor,1,0
video_10279,"Abra o seu negócio, você não precisa ser rico para começar a empreender 🔐 - Entrada no Esse é apenas o começo! 🗿👇🔗 |",0,0
video_10315,Os homens amam de forma verdadeira 🔐 - Entrada no Esse é apenas o começo! 🗿👇🔗 |,0,0
video_10339,"Solteiro por Escolha? A Verdade Nua e Crua dos Homens de Valor! Descubra por que tantos homens de valor e bem-sucedidos estão optando pela vida solteira e abrindo mão de relacionamentos amorosos. Exploramos as razões por trás dessa decisão, desde prioridades de carreira e autodesenvolvimento até a busca por paz e liberdade. Entenda a perspectiva masculina sobre relacionamentos modernos e o que realmente importa para um homem de valor solteiro. desolteiro #solteiro devalor #independencia #liberdade #autoconhecimento #desenvolvimentopessoal #verdadesobreossolteiros",0,0
video_10364,"VILELA foi CHUT4DO pela EX 10 DE 10 #desenvolvimentopessoal 10 REAIS:mercado pago: PIX para pagamento no mercado pago:22992232841PIX concluido,é só chamar no whatsapp e informar o comprovante: CANAL trata da perspectiva MASCULINA do mundo moderno e DESENVOLVIMENTO PESSOAL opiniões sarcásticas e humoradaspeço respeito nos comentários",0,0
video_10373,Como fazer um implante capilar? | Thiago Schutz #reflexão #calvo #implantecapilar #fyp,0,0
video_10389,"Maior prova de amor • Rodrigo Faro | Marçal Talks Transforme sua mente e inspire-se diariamente! Inscreva-se no The Red Pill para reflexões profundas, motivação e sabedoria que vão mudar sua vida.➥ Método Youtuber Milionário 💸 um produto em parceria com Peter Jordan (Ei Nerd!), onde você irá aprender ainda mais formas de ganhar dinheiro com seu canal do Youtube.➥ Redes Sociais ✂:📲 Instagram: TikTok: 📲 Youtube: ➥ Compartilhe este vídeo: Se inscreva no canal ?sub_confirmation=1📌 Créditos:🎙 RODRIGO FARO DIZ COMO LIDAR COM HATERS NO MARÇAL TALKS➜ Red PillCortes podcastPodcast motivacionaisPodcast sobre relacionamentoMaior prova de amor • Rodrigo Faro | Marçal Talks",0,0
video_10415,"Ser Engraçado Ajuda a Conquistar M1N4S ? Novo Canal Alternativo - -c7dQual Sua Atratividade Facial De 1-10? Obtenha Sua Analise 🔍😊👤💡📏 o Ebook ""Guia De Looksmaxxing De 10 Etapas"" 👔✨📝👩‍🎨👨‍🎨📖 o Ebook "" Looksmaxxing De Maneira Errada"" GRATIS"" 👔✨📝👩‍🎨 Siga No Instagram 👣👉📸😊 Siga No TikTok 👣👉🎵😊 Siga No Face 👣👉📘😊",0,0
video_10522,Você resolve pedir a menina em namoro mas descobre que ela ainda mantém contato com o ex 🔐 - Entrada no Esse é apenas o começo! 🗿👇🔗 |,0,0
video_10657,Namorando um homem de verdade | Qual a sua opinião? brasil,0,0
video_10711,Agora aprendi homem devalor moderno #motivação,0,0
video_10724,Você tem controle emocional? | Thiago Schutz #reflexão #fyp,0,0
video_10749,Trairia a namorada por 50k? | Qual a sua opinião? brasil,0,0
video_10847,"Vale a pena se relacionar com mulher depressiva sEntre para o Super Aulão de VSM: Neste vídeo, Gabriel Amorim dá as melhores dicas para você esquecer sua ex-namorada e virar a página de uma vez por todas.",1,1
video_10855,"A MULHER NÃO DEVE GOSTAR DISSO dealtovalor método definitivo para transformar sua vida amorosa."" Acesse o link abaixo: - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - Instagram: Tik Tok: - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - dealtovalor",0,0
video_10881,Existem 3 tipos de homens #sedução #paquera #conquista #fofoca devalor,0,0
video_10891,MULHERES QUE VIVEM NAS REDES SOCIAIS NÃO SÃO DE VALOR napraia napraia ed devalorbrasil safado mentor macho,1,1
video_10979,O que eu faço com esse dilema? | Thiago Schutz #reflexão #fyp,0,0
